"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.091","-0.088"," 0.270"," 0.089"," 1.029","43.000"," 0.309"
"cigarette_availability_mean_past24hrs","-0.051","-0.130"," 0.027"," 0.039","-1.315","43.000"," 0.196"
"(Intercept)","-1.307","-1.946","-0.668"," 0.317","-4.124","43.000"," 0.000"
"cigarette_availability_mean_past24hrs","-0.012","-0.093"," 0.068"," 0.040","-0.312","43.000"," 0.756"
"age"," 0.003","-0.009"," 0.014"," 0.006"," 0.490","43.000"," 0.627"
"is_male","-0.077","-0.401"," 0.246"," 0.160","-0.483","43.000"," 0.632"
"is_latino"," 0.114","-0.220"," 0.448"," 0.166"," 0.690","43.000"," 0.494"
"is_not_latino_and_black","-0.026","-0.462"," 0.410"," 0.216","-0.118","43.000"," 0.906"
"is_not_latino_and_other","-0.042","-0.471"," 0.386"," 0.212","-0.199","43.000"," 0.843"
"baseline_tobacco_history","-0.003","-0.023"," 0.017"," 0.010","-0.289","43.000"," 0.774"
"has_partner"," 0.130","-0.110"," 0.371"," 0.119"," 1.092","43.000"," 0.281"
"income_val","-0.022","-0.061"," 0.018"," 0.020","-1.098","43.000"," 0.278"
"hour_coinflip_local"," 0.005","-0.007"," 0.017"," 0.006"," 0.822","43.000"," 0.416"
"days_between_v1_and_coinflip_local"," 0.008","-0.018"," 0.035"," 0.013"," 0.622","43.000"," 0.537"
"any_response_2qs"," 0.176","-0.037"," 0.389"," 0.106"," 1.670","43.000"," 0.102"
"engagement_most_recent_eligible"," 0.859"," 0.501"," 1.216"," 0.177"," 4.845","43.000"," 0.000"
