"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.098","-0.001"," 0.196"," 0.049"," 1.982","74.000"," 0.051"
"cigarette_counts_lag1"," 0.042","-0.061"," 0.145"," 0.052"," 0.814","74.000"," 0.418"
"(Intercept)","-1.329","-1.854","-0.804"," 0.263","-5.045","74.000"," 0.000"
"cigarette_counts_lag1","-0.079","-0.170"," 0.012"," 0.046","-1.734","74.000"," 0.087"
"age"," 0.002","-0.005"," 0.009"," 0.004"," 0.539","74.000"," 0.591"
"is_male","-0.127","-0.417"," 0.163"," 0.145","-0.871","74.000"," 0.386"
"is_latino"," 0.188","-0.105"," 0.481"," 0.147"," 1.280","74.000"," 0.205"
"is_not_latino_and_black"," 0.129","-0.144"," 0.403"," 0.137"," 0.941","74.000"," 0.350"
"is_not_latino_and_other"," 0.114","-0.277"," 0.505"," 0.196"," 0.580","74.000"," 0.563"
"baseline_tobacco_history"," 0.002","-0.011"," 0.015"," 0.006"," 0.301","74.000"," 0.764"
"has_partner"," 0.023","-0.192"," 0.238"," 0.108"," 0.212","74.000"," 0.832"
"income_val","-0.008","-0.040"," 0.025"," 0.016","-0.468","74.000"," 0.641"
"hour_coinflip_local"," 0.002","-0.009"," 0.013"," 0.006"," 0.369","74.000"," 0.714"
"days_between_v1_and_coinflip_local","-0.001","-0.016"," 0.014"," 0.008","-0.097","74.000"," 0.923"
"any_response_2qs"," 0.032","-0.104"," 0.168"," 0.068"," 0.464","74.000"," 0.644"
"engagement_most_recent_eligible"," 0.866"," 0.602"," 1.131"," 0.133"," 6.518","74.000"," 0.000"
