"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)","-0.029"," 0.060","-0.151"," 0.092","-0.131"," 0.072","-0.485","43.000"," 0.630"
"cigarette_counts_sum_past24hrs"," 0.015"," 0.020","-0.026"," 0.056","-0.019"," 0.049"," 0.742","43.000"," 0.462"
"(Intercept)","-1.152"," 0.314","-1.786","-0.518","-1.681","-0.623","-3.663","43.000"," 0.001"
"cigarette_counts_sum_past24hrs","-0.043"," 0.026","-0.096"," 0.010","-0.087"," 0.001","-1.628","43.000"," 0.111"
"age"," 0.002"," 0.005","-0.008"," 0.012","-0.006"," 0.010"," 0.448","43.000"," 0.656"
"is_male","-0.076"," 0.149","-0.376"," 0.224","-0.326"," 0.174","-0.512","43.000"," 0.611"
"is_latino"," 0.082"," 0.142","-0.205"," 0.368","-0.157"," 0.321"," 0.574","43.000"," 0.569"
"is_not_latino_and_black","-0.054"," 0.185","-0.427"," 0.320","-0.365"," 0.258","-0.291","43.000"," 0.773"
"is_not_latino_and_other","-0.041"," 0.225","-0.494"," 0.413","-0.419"," 0.338","-0.180","43.000"," 0.858"
"baseline_tobacco_history"," 0.005"," 0.009","-0.014"," 0.024","-0.010"," 0.021"," 0.553","43.000"," 0.583"
"has_partner"," 0.145"," 0.108","-0.074"," 0.363","-0.038"," 0.327"," 1.332","43.000"," 0.190"
"income_val","-0.030"," 0.018","-0.067"," 0.008","-0.060"," 0.001","-1.608","43.000"," 0.115"
"hour_coinflip_local"," 0.004"," 0.005","-0.007"," 0.015","-0.005"," 0.013"," 0.743","43.000"," 0.462"
"days_between_v1_and_coinflip_local","-0.009"," 0.015","-0.040"," 0.021","-0.034"," 0.016","-0.613","43.000"," 0.543"
"any_response_2qs"," 0.160"," 0.103","-0.047"," 0.368","-0.013"," 0.334"," 1.556","43.000"," 0.127"
"engagement_most_recent_eligible"," 0.836"," 0.174"," 0.485"," 1.188"," 0.544"," 1.129"," 4.804","43.000"," 0.000"
