"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.122"," 0.018"," 0.227"," 0.052"," 2.331","74.000"," 0.022"
"guilty_lag1","-0.044","-0.186"," 0.099"," 0.071","-0.611","74.000"," 0.543"
"(Intercept)","-1.359","-1.883","-0.836"," 0.263","-5.170","74.000"," 0.000"
"guilty_lag1","-0.010","-0.114"," 0.095"," 0.052","-0.183","74.000"," 0.855"
"age"," 0.001","-0.006"," 0.009"," 0.004"," 0.404","74.000"," 0.688"
"is_male","-0.154","-0.450"," 0.143"," 0.149","-1.033","74.000"," 0.305"
"is_latino"," 0.212","-0.084"," 0.508"," 0.149"," 1.426","74.000"," 0.158"
"is_not_latino_and_black"," 0.140","-0.142"," 0.421"," 0.141"," 0.988","74.000"," 0.326"
"is_not_latino_and_other"," 0.108","-0.282"," 0.497"," 0.196"," 0.550","74.000"," 0.584"
"baseline_tobacco_history"," 0.001","-0.013"," 0.014"," 0.007"," 0.082","74.000"," 0.935"
"has_partner"," 0.008","-0.213"," 0.230"," 0.111"," 0.074","74.000"," 0.941"
"income_val","-0.006","-0.038"," 0.027"," 0.016","-0.340","74.000"," 0.735"
"hour_coinflip_local"," 0.002","-0.009"," 0.013"," 0.005"," 0.402","74.000"," 0.689"
"days_between_v1_and_coinflip_local"," 0.005","-0.010"," 0.021"," 0.008"," 0.706","74.000"," 0.482"
"any_response_2qs"," 0.035","-0.106"," 0.175"," 0.070"," 0.493","74.000"," 0.623"
"engagement_most_recent_eligible"," 0.870"," 0.604"," 1.135"," 0.133"," 6.531","74.000"," 0.000"
