"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.002"," 0.051","-0.101"," 0.105","-0.084"," 0.088"," 0.042","45.000"," 0.967"
"guilty_mean_past24hrs","-0.008"," 0.141","-0.292"," 0.276","-0.245"," 0.229","-0.057","45.000"," 0.954"
"(Intercept)","-1.258"," 0.353","-1.970","-0.547","-1.852","-0.665","-3.560","45.000"," 0.001"
"guilty_mean_past24hrs","-0.046"," 0.110","-0.268"," 0.176","-0.231"," 0.139","-0.419","45.000"," 0.677"
"age"," 0.002"," 0.005","-0.008"," 0.011","-0.006"," 0.009"," 0.320","45.000"," 0.750"
"is_male","-0.113"," 0.154","-0.423"," 0.197","-0.371"," 0.145","-0.735","45.000"," 0.466"
"is_latino"," 0.153"," 0.160","-0.168"," 0.475","-0.115"," 0.421"," 0.959","45.000"," 0.343"
"is_not_latino_and_black"," 0.019"," 0.191","-0.366"," 0.404","-0.302"," 0.340"," 0.100","45.000"," 0.921"
"is_not_latino_and_other","-0.051"," 0.219","-0.492"," 0.390","-0.418"," 0.317","-0.232","45.000"," 0.818"
"baseline_tobacco_history"," 0.000"," 0.010","-0.019"," 0.019","-0.016"," 0.016","-0.008","45.000"," 0.994"
"has_partner"," 0.109"," 0.124","-0.141"," 0.360","-0.099"," 0.318"," 0.880","45.000"," 0.383"
"income_val","-0.029"," 0.018","-0.066"," 0.008","-0.060"," 0.001","-1.604","45.000"," 0.116"
"hour_coinflip_local"," 0.004"," 0.005","-0.007"," 0.014","-0.005"," 0.012"," 0.669","45.000"," 0.507"
"days_between_v1_and_coinflip_local"," 0.012"," 0.011","-0.010"," 0.033","-0.006"," 0.029"," 1.090","45.000"," 0.281"
"any_response_2qs"," 0.161"," 0.099","-0.038"," 0.361","-0.005"," 0.328"," 1.632","45.000"," 0.110"
"engagement_most_recent_eligible"," 0.861"," 0.186"," 0.486"," 1.236"," 0.549"," 1.174"," 4.626","45.000"," 0.000"
