"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.211"," 0.006"," 0.416"," 0.103"," 2.050","74.000"," 0.044"
"happy_lag1","-0.039","-0.107"," 0.028"," 0.034","-1.159","74.000"," 0.250"
"(Intercept)","-1.512","-2.100","-0.923"," 0.295","-5.120","74.000"," 0.000"
"happy_lag1"," 0.061","-0.008"," 0.129"," 0.034"," 1.755","74.000"," 0.083"
"age"," 0.001","-0.006"," 0.009"," 0.004"," 0.326","74.000"," 0.746"
"is_male","-0.147","-0.445"," 0.150"," 0.149","-0.988","74.000"," 0.326"
"is_latino"," 0.193","-0.102"," 0.488"," 0.148"," 1.305","74.000"," 0.196"
"is_not_latino_and_black"," 0.123","-0.158"," 0.404"," 0.141"," 0.874","74.000"," 0.385"
"is_not_latino_and_other"," 0.117","-0.257"," 0.492"," 0.188"," 0.624","74.000"," 0.534"
"baseline_tobacco_history"," 0.001","-0.013"," 0.015"," 0.007"," 0.149","74.000"," 0.882"
"has_partner"," 0.001","-0.216"," 0.218"," 0.109"," 0.007","74.000"," 0.994"
"income_val","-0.004","-0.037"," 0.029"," 0.016","-0.254","74.000"," 0.801"
"hour_coinflip_local"," 0.003","-0.007"," 0.014"," 0.005"," 0.611","74.000"," 0.543"
"days_between_v1_and_coinflip_local"," 0.005","-0.010"," 0.020"," 0.008"," 0.671","74.000"," 0.504"
"any_response_2qs"," 0.031","-0.108"," 0.170"," 0.070"," 0.446","74.000"," 0.657"
"engagement_most_recent_eligible"," 0.861"," 0.600"," 1.123"," 0.131"," 6.562","74.000"," 0.000"
