"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)","-0.045","-0.436"," 0.346"," 0.194","-0.232","45.000"," 0.817"
"happy_mean_past24hrs"," 0.019","-0.106"," 0.143"," 0.062"," 0.302","45.000"," 0.764"
"(Intercept)","-1.384","-2.106","-0.663"," 0.358","-3.864","45.000"," 0.000"
"happy_mean_past24hrs"," 0.069","-0.034"," 0.172"," 0.051"," 1.354","45.000"," 0.183"
"age","-0.001","-0.011"," 0.009"," 0.005","-0.216","45.000"," 0.830"
"is_male","-0.104","-0.421"," 0.212"," 0.157","-0.663","45.000"," 0.510"
"is_latino"," 0.125","-0.200"," 0.451"," 0.162"," 0.775","45.000"," 0.443"
"is_not_latino_and_black"," 0.038","-0.350"," 0.425"," 0.192"," 0.196","45.000"," 0.845"
"is_not_latino_and_other","-0.022","-0.437"," 0.394"," 0.206","-0.105","45.000"," 0.917"
"baseline_tobacco_history"," 0.001","-0.019"," 0.020"," 0.010"," 0.058","45.000"," 0.954"
"has_partner"," 0.085","-0.152"," 0.323"," 0.118"," 0.724","45.000"," 0.473"
"income_val","-0.025","-0.063"," 0.012"," 0.019","-1.363","45.000"," 0.180"
"hour_coinflip_local"," 0.005","-0.005"," 0.016"," 0.005"," 1.040","45.000"," 0.304"
"days_between_v1_and_coinflip_local"," 0.014","-0.008"," 0.036"," 0.011"," 1.256","45.000"," 0.216"
"any_response_2qs"," 0.168","-0.032"," 0.368"," 0.099"," 1.687","45.000"," 0.099"
"engagement_most_recent_eligible"," 0.837"," 0.459"," 1.215"," 0.188"," 4.464","45.000"," 0.000"
