"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.126"," 0.203","-0.283"," 0.535","-0.215"," 0.466"," 0.620","42.000"," 0.538"
"src_scored_mean_past24hrs","-0.042"," 0.068","-0.179"," 0.095","-0.156"," 0.072","-0.617","42.000"," 0.540"
"(Intercept)","-1.518"," 0.381","-2.287","-0.749","-2.159","-0.877","-3.984","42.000"," 0.000"
"src_scored_mean_past24hrs"," 0.038"," 0.060","-0.083"," 0.158","-0.063"," 0.138"," 0.635","42.000"," 0.529"
"age"," 0.002"," 0.005","-0.008"," 0.012","-0.006"," 0.011"," 0.481","42.000"," 0.633"
"is_male","-0.098"," 0.163","-0.426"," 0.230","-0.372"," 0.175","-0.604","42.000"," 0.549"
"is_latino"," 0.142"," 0.157","-0.175"," 0.458","-0.122"," 0.406"," 0.904","42.000"," 0.371"
"is_not_latino_and_black"," 0.016"," 0.183","-0.352"," 0.384","-0.291"," 0.323"," 0.087","42.000"," 0.931"
"is_not_latino_and_other","-0.020"," 0.203","-0.431"," 0.390","-0.362"," 0.322","-0.100","42.000"," 0.921"
"baseline_tobacco_history","-0.006"," 0.009","-0.025"," 0.013","-0.022"," 0.010","-0.622","42.000"," 0.537"
"has_partner"," 0.131"," 0.113","-0.096"," 0.359","-0.058"," 0.321"," 1.166","42.000"," 0.250"
"income_val","-0.025"," 0.019","-0.063"," 0.013","-0.057"," 0.006","-1.342","42.000"," 0.187"
"hour_coinflip_local"," 0.005"," 0.005","-0.006"," 0.015","-0.004"," 0.014"," 0.894","42.000"," 0.377"
"days_between_v1_and_coinflip_local"," 0.014"," 0.011","-0.008"," 0.037","-0.005"," 0.033"," 1.267","42.000"," 0.212"
"any_response_2qs"," 0.193"," 0.101","-0.011"," 0.397"," 0.023"," 0.363"," 1.907","42.000"," 0.063"
"engagement_most_recent_eligible"," 0.952"," 0.196"," 0.557"," 1.348"," 0.623"," 1.282"," 4.859","42.000"," 0.000"
