"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)","-0.012"," 0.064","-0.141"," 0.118","-0.120"," 0.096","-0.185","43.000"," 0.854"
"stressor_is_any_sum_past24hrs"," 0.005"," 0.023","-0.041"," 0.051","-0.034"," 0.043"," 0.214","43.000"," 0.832"
"(Intercept)","-1.253"," 0.338","-1.935","-0.571","-1.822","-0.685","-3.707","43.000"," 0.001"
"stressor_is_any_sum_past24hrs","-0.027"," 0.028","-0.083"," 0.028","-0.074"," 0.019","-0.990","43.000"," 0.328"
"age"," 0.001"," 0.005","-0.008"," 0.011","-0.007"," 0.010"," 0.284","43.000"," 0.778"
"is_male","-0.095"," 0.160","-0.418"," 0.227","-0.364"," 0.173","-0.597","43.000"," 0.554"
"is_latino"," 0.181"," 0.152","-0.125"," 0.488","-0.074"," 0.437"," 1.193","43.000"," 0.239"
"is_not_latino_and_black"," 0.011"," 0.186","-0.363"," 0.385","-0.301"," 0.323"," 0.058","43.000"," 0.954"
"is_not_latino_and_other","-0.068"," 0.218","-0.506"," 0.371","-0.433"," 0.298","-0.312","43.000"," 0.757"
"baseline_tobacco_history","-0.002"," 0.009","-0.021"," 0.016","-0.018"," 0.013","-0.249","43.000"," 0.804"
"has_partner"," 0.090"," 0.111","-0.135"," 0.315","-0.097"," 0.277"," 0.808","43.000"," 0.424"
"income_val","-0.027"," 0.019","-0.066"," 0.012","-0.059"," 0.006","-1.393","43.000"," 0.171"
"hour_coinflip_local"," 0.005"," 0.005","-0.006"," 0.016","-0.004"," 0.014"," 0.981","43.000"," 0.332"
"days_between_v1_and_coinflip_local"," 0.015"," 0.012","-0.009"," 0.039","-0.005"," 0.035"," 1.237","43.000"," 0.223"
"any_response_2qs"," 0.178"," 0.102","-0.027"," 0.382"," 0.007"," 0.348"," 1.748","43.000"," 0.088"
"engagement_most_recent_eligible"," 0.876"," 0.180"," 0.513"," 1.239"," 0.573"," 1.179"," 4.864","43.000"," 0.000"
