"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.106"," 0.048"," 0.011"," 0.201"," 0.026"," 0.185"," 2.216","74.000"," 0.030"
"substance_is_alcohol_lag1"," 0.339"," 0.481","-0.619"," 1.297","-0.462"," 1.140"," 0.706","74.000"," 0.483"
"(Intercept)","-1.391"," 0.261","-1.911","-0.871","-1.826","-0.956","-5.330","74.000"," 0.000"
"substance_is_alcohol_lag1","-0.230"," 0.520","-1.266"," 0.806","-1.096"," 0.636","-0.442","74.000"," 0.660"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.532","74.000"," 0.596"
"is_male","-0.133"," 0.148","-0.427"," 0.161","-0.379"," 0.113","-0.901","74.000"," 0.371"
"is_latino"," 0.203"," 0.148","-0.092"," 0.499","-0.044"," 0.451"," 1.370","74.000"," 0.175"
"is_not_latino_and_black"," 0.145"," 0.139","-0.131"," 0.421","-0.086"," 0.375"," 1.044","74.000"," 0.300"
"is_not_latino_and_other"," 0.118"," 0.193","-0.267"," 0.503","-0.204"," 0.440"," 0.610","74.000"," 0.544"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.011"," 0.022","74.000"," 0.983"
"has_partner"," 0.016"," 0.110","-0.203"," 0.235","-0.167"," 0.199"," 0.144","74.000"," 0.886"
"income_val","-0.006"," 0.016","-0.039"," 0.026","-0.033"," 0.021","-0.385","74.000"," 0.701"
"hour_coinflip_local"," 0.003"," 0.005","-0.008"," 0.014","-0.006"," 0.012"," 0.512","74.000"," 0.610"
"days_between_v1_and_coinflip_local"," 0.005"," 0.008","-0.010"," 0.020","-0.007"," 0.018"," 0.689","74.000"," 0.493"
"any_response_2qs"," 0.032"," 0.070","-0.107"," 0.171","-0.084"," 0.148"," 0.463","74.000"," 0.644"
"engagement_most_recent_eligible"," 0.872"," 0.133"," 0.608"," 1.137"," 0.651"," 1.093"," 6.570","74.000"," 0.000"
