"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)","-0.008","-0.121"," 0.105"," 0.056","-0.139","43.000"," 0.890"
"substance_is_alcohol_sum_past24hrs"," 0.026","-0.174"," 0.226"," 0.099"," 0.262","43.000"," 0.795"
"(Intercept)","-1.340","-2.020","-0.659"," 0.337","-3.971","43.000"," 0.000"
"substance_is_alcohol_sum_past24hrs","-0.026","-0.309"," 0.257"," 0.140","-0.186","43.000"," 0.853"
"age"," 0.002","-0.008"," 0.011"," 0.005"," 0.403","43.000"," 0.689"
"is_male","-0.087","-0.412"," 0.238"," 0.161","-0.542","43.000"," 0.591"
"is_latino"," 0.155","-0.180"," 0.489"," 0.166"," 0.933","43.000"," 0.356"
"is_not_latino_and_black"," 0.029","-0.353"," 0.411"," 0.189"," 0.153","43.000"," 0.879"
"is_not_latino_and_other","-0.012","-0.449"," 0.425"," 0.217","-0.054","43.000"," 0.957"
"baseline_tobacco_history","-0.001","-0.021"," 0.019"," 0.010","-0.144","43.000"," 0.886"
"has_partner"," 0.100","-0.149"," 0.350"," 0.124"," 0.811","43.000"," 0.422"
"income_val","-0.026","-0.065"," 0.012"," 0.019","-1.371","43.000"," 0.178"
"hour_coinflip_local"," 0.004","-0.007"," 0.015"," 0.005"," 0.725","43.000"," 0.472"
"days_between_v1_and_coinflip_local"," 0.013","-0.010"," 0.037"," 0.012"," 1.139","43.000"," 0.261"
"any_response_2qs"," 0.175","-0.026"," 0.376"," 0.100"," 1.758","43.000"," 0.086"
"engagement_most_recent_eligible"," 0.882"," 0.527"," 1.238"," 0.176"," 5.001","43.000"," 0.000"
