"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.079"," 0.044","-0.009"," 0.168"," 0.005"," 0.153"," 1.787","74.000"," 0.078"
"substance_is_any_nicotine_lag1"," 0.121"," 0.100","-0.079"," 0.321","-0.046"," 0.288"," 1.206","74.000"," 0.232"
"(Intercept)","-1.311"," 0.258","-1.824","-0.798","-1.740","-0.882","-5.090","74.000"," 0.000"
"substance_is_any_nicotine_lag1","-0.178"," 0.084","-0.345","-0.011","-0.318","-0.038","-2.124","74.000"," 0.037"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.597","74.000"," 0.553"
"is_male","-0.134"," 0.149","-0.432"," 0.163","-0.383"," 0.115","-0.898","74.000"," 0.372"
"is_latino"," 0.185"," 0.149","-0.113"," 0.482","-0.064"," 0.433"," 1.238","74.000"," 0.220"
"is_not_latino_and_black"," 0.132"," 0.139","-0.146"," 0.410","-0.100"," 0.364"," 0.948","74.000"," 0.346"
"is_not_latino_and_other"," 0.106"," 0.195","-0.283"," 0.496","-0.219"," 0.432"," 0.544","74.000"," 0.588"
"baseline_tobacco_history"," 0.001"," 0.007","-0.012"," 0.014","-0.010"," 0.012"," 0.164","74.000"," 0.870"
"has_partner"," 0.027"," 0.108","-0.188"," 0.243","-0.153"," 0.208"," 0.253","74.000"," 0.801"
"income_val","-0.007"," 0.016","-0.040"," 0.025","-0.034"," 0.020","-0.443","74.000"," 0.659"
"hour_coinflip_local"," 0.002"," 0.005","-0.009"," 0.013","-0.007"," 0.011"," 0.404","74.000"," 0.687"
"days_between_v1_and_coinflip_local","-0.001"," 0.008","-0.017"," 0.014","-0.014"," 0.012","-0.143","74.000"," 0.887"
"any_response_2qs"," 0.030"," 0.070","-0.109"," 0.169","-0.086"," 0.146"," 0.430","74.000"," 0.668"
"engagement_most_recent_eligible"," 0.870"," 0.134"," 0.603"," 1.138"," 0.646"," 1.094"," 6.476","74.000"," 0.000"
