"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.004"," 0.053","-0.102"," 0.111","-0.084"," 0.093"," 0.083","43.000"," 0.934"
"substance_is_any_sum_past24hrs","-0.007"," 0.027","-0.062"," 0.049","-0.053"," 0.040","-0.238","43.000"," 0.813"
"(Intercept)","-1.206"," 0.330","-1.871","-0.541","-1.760","-0.652","-3.659","43.000"," 0.001"
"substance_is_any_sum_past24hrs","-0.030"," 0.027","-0.084"," 0.023","-0.075"," 0.014","-1.141","43.000"," 0.260"
"age"," 0.001"," 0.005","-0.009"," 0.011","-0.007"," 0.010"," 0.279","43.000"," 0.782"
"is_male","-0.100"," 0.163","-0.429"," 0.228","-0.374"," 0.173","-0.617","43.000"," 0.540"
"is_latino"," 0.110"," 0.167","-0.226"," 0.446","-0.170"," 0.390"," 0.661","43.000"," 0.512"
"is_not_latino_and_black","-0.012"," 0.196","-0.407"," 0.383","-0.342"," 0.317","-0.063","43.000"," 0.950"
"is_not_latino_and_other","-0.057"," 0.214","-0.490"," 0.375","-0.418"," 0.303","-0.267","43.000"," 0.791"
"baseline_tobacco_history"," 0.002"," 0.010","-0.018"," 0.022","-0.015"," 0.019"," 0.212","43.000"," 0.833"
"has_partner"," 0.131"," 0.119","-0.109"," 0.370","-0.069"," 0.331"," 1.102","43.000"," 0.277"
"income_val","-0.031"," 0.020","-0.070"," 0.009","-0.063"," 0.002","-1.560","43.000"," 0.126"
"hour_coinflip_local"," 0.003"," 0.005","-0.007"," 0.014","-0.006"," 0.013"," 0.645","43.000"," 0.522"
"days_between_v1_and_coinflip_local"," 0.005"," 0.014","-0.024"," 0.033","-0.019"," 0.028"," 0.321","43.000"," 0.750"
"any_response_2qs"," 0.173"," 0.102","-0.032"," 0.378"," 0.002"," 0.344"," 1.706","43.000"," 0.095"
"engagement_most_recent_eligible"," 0.867"," 0.177"," 0.511"," 1.224"," 0.570"," 1.165"," 4.903","43.000"," 0.000"
