"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.080"," 0.044","-0.008"," 0.169"," 0.006"," 0.154"," 1.808","74.000"," 0.075"
"substance_is_any_tobacco_lag1"," 0.118"," 0.100","-0.082"," 0.318","-0.050"," 0.285"," 1.172","74.000"," 0.245"
"(Intercept)","-1.311"," 0.257","-1.824","-0.798","-1.740","-0.882","-5.090","74.000"," 0.000"
"substance_is_any_tobacco_lag1","-0.178"," 0.084","-0.345","-0.011","-0.318","-0.039","-2.127","74.000"," 0.037"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.598","74.000"," 0.552"
"is_male","-0.134"," 0.149","-0.431"," 0.163","-0.383"," 0.115","-0.898","74.000"," 0.372"
"is_latino"," 0.184"," 0.149","-0.113"," 0.481","-0.064"," 0.432"," 1.234","74.000"," 0.221"
"is_not_latino_and_black"," 0.132"," 0.139","-0.146"," 0.409","-0.100"," 0.364"," 0.946","74.000"," 0.347"
"is_not_latino_and_other"," 0.106"," 0.195","-0.283"," 0.496","-0.219"," 0.432"," 0.544","74.000"," 0.588"
"baseline_tobacco_history"," 0.001"," 0.007","-0.012"," 0.014","-0.010"," 0.012"," 0.168","74.000"," 0.867"
"has_partner"," 0.028"," 0.108","-0.188"," 0.243","-0.152"," 0.208"," 0.255","74.000"," 0.799"
"income_val","-0.007"," 0.016","-0.040"," 0.025","-0.034"," 0.020","-0.443","74.000"," 0.659"
"hour_coinflip_local"," 0.002"," 0.005","-0.009"," 0.013","-0.007"," 0.011"," 0.407","74.000"," 0.685"
"days_between_v1_and_coinflip_local","-0.001"," 0.008","-0.017"," 0.014","-0.014"," 0.012","-0.159","74.000"," 0.874"
"any_response_2qs"," 0.030"," 0.070","-0.109"," 0.169","-0.086"," 0.146"," 0.429","74.000"," 0.669"
"engagement_most_recent_eligible"," 0.870"," 0.134"," 0.602"," 1.138"," 0.646"," 1.094"," 6.472","74.000"," 0.000"
