"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.073"," 0.042","-0.011"," 0.157"," 0.002"," 0.144"," 1.722","74.000"," 0.089"
"substance_is_cigarettes_lag1"," 0.147"," 0.101","-0.054"," 0.349","-0.021"," 0.316"," 1.455","74.000"," 0.150"
"(Intercept)","-1.305"," 0.258","-1.819","-0.791","-1.735","-0.876","-5.061","74.000"," 0.000"
"substance_is_cigarettes_lag1","-0.195"," 0.088","-0.370","-0.019","-0.341","-0.048","-2.212","74.000"," 0.030"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.584","74.000"," 0.561"
"is_male","-0.136"," 0.150","-0.434"," 0.162","-0.385"," 0.114","-0.907","74.000"," 0.367"
"is_latino"," 0.184"," 0.149","-0.113"," 0.482","-0.064"," 0.433"," 1.235","74.000"," 0.221"
"is_not_latino_and_black"," 0.129"," 0.139","-0.149"," 0.407","-0.103"," 0.362"," 0.927","74.000"," 0.357"
"is_not_latino_and_other"," 0.107"," 0.196","-0.283"," 0.497","-0.219"," 0.433"," 0.546","74.000"," 0.587"
"baseline_tobacco_history"," 0.001"," 0.007","-0.012"," 0.014","-0.010"," 0.012"," 0.175","74.000"," 0.862"
"has_partner"," 0.028"," 0.108","-0.187"," 0.243","-0.151"," 0.208"," 0.262","74.000"," 0.794"
"income_val","-0.007"," 0.016","-0.040"," 0.025","-0.035"," 0.020","-0.444","74.000"," 0.658"
"hour_coinflip_local"," 0.002"," 0.005","-0.009"," 0.013","-0.007"," 0.011"," 0.378","74.000"," 0.706"
"days_between_v1_and_coinflip_local","-0.001"," 0.008","-0.016"," 0.015","-0.014"," 0.012","-0.096","74.000"," 0.924"
"any_response_2qs"," 0.030"," 0.070","-0.110"," 0.169","-0.087"," 0.146"," 0.422","74.000"," 0.674"
"engagement_most_recent_eligible"," 0.869"," 0.135"," 0.600"," 1.138"," 0.644"," 1.094"," 6.436","74.000"," 0.000"
