"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)","-0.024"," 0.063","-0.152"," 0.104","-0.131"," 0.082","-0.380","43.000"," 0.706"
"substance_is_cigarettes_sum_past24hrs"," 0.014"," 0.029","-0.044"," 0.072","-0.034"," 0.062"," 0.481","43.000"," 0.633"
"(Intercept)","-1.228"," 0.306","-1.845","-0.611","-1.742","-0.714","-4.015","43.000"," 0.000"
"substance_is_cigarettes_sum_past24hrs","-0.042"," 0.034","-0.112"," 0.027","-0.100"," 0.016","-1.224","43.000"," 0.228"
"age"," 0.002"," 0.005","-0.008"," 0.012","-0.006"," 0.011"," 0.469","43.000"," 0.641"
"is_male","-0.091"," 0.163","-0.420"," 0.239","-0.365"," 0.184","-0.555","43.000"," 0.582"
"is_latino"," 0.112"," 0.168","-0.228"," 0.451","-0.171"," 0.395"," 0.663","43.000"," 0.511"
"is_not_latino_and_black","-0.027"," 0.199","-0.427"," 0.374","-0.360"," 0.307","-0.135","43.000"," 0.894"
"is_not_latino_and_other","-0.055"," 0.224","-0.506"," 0.396","-0.431"," 0.321","-0.246","43.000"," 0.807"
"baseline_tobacco_history"," 0.001"," 0.010","-0.019"," 0.021","-0.016"," 0.018"," 0.117","43.000"," 0.907"
"has_partner"," 0.133"," 0.123","-0.116"," 0.381","-0.075"," 0.340"," 1.076","43.000"," 0.288"
"income_val","-0.028"," 0.020","-0.067"," 0.012","-0.060"," 0.005","-1.412","43.000"," 0.165"
"hour_coinflip_local"," 0.003"," 0.005","-0.008"," 0.014","-0.006"," 0.013"," 0.624","43.000"," 0.536"
"days_between_v1_and_coinflip_local"," 0.002"," 0.015","-0.029"," 0.032","-0.024"," 0.027"," 0.118","43.000"," 0.907"
"any_response_2qs"," 0.174"," 0.101","-0.030"," 0.378"," 0.004"," 0.344"," 1.722","43.000"," 0.092"
"engagement_most_recent_eligible"," 0.865"," 0.176"," 0.510"," 1.221"," 0.569"," 1.161"," 4.913","43.000"," 0.000"
