"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.126"," 0.050"," 0.026"," 0.227"," 0.043"," 0.210"," 2.516","74.000"," 0.014"
"substance_is_marijuana_or_cannabis_lag1","-0.203"," 0.137","-0.476"," 0.071","-0.431"," 0.026","-1.474","74.000"," 0.145"
"(Intercept)","-1.395"," 0.260","-1.913","-0.877","-1.828","-0.962","-5.369","74.000"," 0.000"
"substance_is_marijuana_or_cannabis_lag1"," 0.109"," 0.125","-0.141"," 0.358","-0.100"," 0.318"," 0.869","74.000"," 0.388"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.491","74.000"," 0.625"
"is_male","-0.137"," 0.149","-0.435"," 0.160","-0.386"," 0.111","-0.920","74.000"," 0.360"
"is_latino"," 0.206"," 0.149","-0.091"," 0.503","-0.042"," 0.454"," 1.381","74.000"," 0.172"
"is_not_latino_and_black"," 0.145"," 0.141","-0.135"," 0.425","-0.089"," 0.379"," 1.030","74.000"," 0.306"
"is_not_latino_and_other"," 0.113"," 0.202","-0.290"," 0.517","-0.224"," 0.451"," 0.560","74.000"," 0.577"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.013","-0.011"," 0.011"," 0.001","74.000"," 0.999"
"has_partner"," 0.013"," 0.110","-0.207"," 0.232","-0.171"," 0.196"," 0.117","74.000"," 0.908"
"income_val","-0.006"," 0.017","-0.039"," 0.027","-0.034"," 0.021","-0.372","74.000"," 0.711"
"hour_coinflip_local"," 0.003"," 0.005","-0.008"," 0.014","-0.006"," 0.012"," 0.569","74.000"," 0.571"
"days_between_v1_and_coinflip_local"," 0.005"," 0.008","-0.010"," 0.020","-0.008"," 0.017"," 0.626","74.000"," 0.533"
"any_response_2qs"," 0.031"," 0.070","-0.108"," 0.169","-0.085"," 0.146"," 0.439","74.000"," 0.662"
"engagement_most_recent_eligible"," 0.876"," 0.133"," 0.611"," 1.141"," 0.655"," 1.098"," 6.590","74.000"," 0.000"
