"decision_point","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
1,9,7,0.857,0.419,0.98
2,18,10,0.7,0.376,0.9
3,18,13,0.692,0.409,0.88
4,22,17,0.765,0.514,0.909
5,24,19,0.789,0.554,0.919
6,16,5,1,1,1
7,18,15,0.6,0.348,0.808
8,17,12,0.917,0.587,0.988
9,23,18,0.722,0.481,0.879
10,26,23,0.652,0.443,0.816
11,25,18,0.833,0.591,0.945
12,24,15,0.867,0.595,0.966
13,19,13,0.462,0.224,0.718
14,17,13,0.538,0.282,0.776
15,23,18,0.833,0.591,0.945
16,24,11,0.636,0.339,0.857
17,22,17,0.529,0.303,0.745
18,13,6,0.667,0.268,0.916
19,12,7,0.714,0.327,0.928
20,19,12,0.75,0.448,0.917
21,15,12,0.75,0.448,0.917
22,25,19,0.579,0.356,0.774
23,14,9,0.778,0.421,0.944
24,20,8,0.75,0.377,0.937
25,14,8,0.75,0.377,0.937
26,21,17,0.765,0.514,0.909
27,12,11,0.727,0.414,0.91
28,20,12,0.667,0.376,0.869
29,18,13,0.769,0.478,0.924
30,20,7,0.857,0.419,0.98
31,23,15,0.867,0.595,0.966
32,24,11,0.727,0.414,0.91
33,15,9,0.778,0.421,0.944
34,19,14,0.571,0.316,0.794
35,15,7,1,1,1
36,23,9,0.444,0.177,0.749
37,21,13,0.538,0.282,0.776
38,18,12,0.583,0.308,0.815
39,17,13,0.692,0.409,0.88
40,22,18,0.722,0.481,0.879
41,24,17,0.647,0.404,0.832
42,15,5,1,1,1
43,22,17,0.765,0.514,0.909
44,17,11,0.818,0.493,0.954
45,15,12,0.5,0.244,0.756
46,26,16,0.688,0.433,0.864
47,16,13,0.769,0.478,0.924
48,20,9,0.889,0.5,0.985
49,19,11,0.818,0.493,0.954
50,15,8,0.5,0.2,0.8
51,12,8,0.75,0.377,0.937
52,19,12,0.833,0.523,0.958
53,25,13,0.692,0.409,0.88
54,24,12,0.917,0.587,0.988
55,17,12,0.667,0.376,0.869
56,16,12,0.75,0.448,0.917
57,10,8,1,1,1
58,13,8,0.875,0.463,0.983
59,10,5,0.8,0.309,0.973
60,7,2,1,1,1
