"decision_point","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
1,2,1,0,0,0
2,15,6,1,1,1
3,24,12,0.583,0.308,0.815
4,24,17,0.647,0.404,0.832
5,22,18,0.556,0.33,0.76
6,16,7,0.286,0.072,0.673
7,16,11,0.455,0.203,0.732
8,26,16,0.438,0.225,0.676
9,21,18,0.444,0.24,0.67
10,25,17,0.765,0.514,0.909
11,22,15,0.4,0.192,0.652
12,16,8,0.75,0.377,0.937
13,17,10,0.7,0.376,0.9
14,27,22,0.545,0.341,0.735
15,17,16,0.687,0.433,0.864
16,21,11,0.636,0.339,0.857
17,27,17,0.706,0.458,0.872
18,17,6,0.333,0.084,0.732
19,22,15,0.667,0.406,0.854
20,27,22,0.591,0.382,0.772
21,21,13,0.538,0.282,0.776
22,22,19,0.526,0.311,0.732
23,17,11,0.636,0.339,0.857
24,16,6,0.833,0.369,0.977
25,23,17,0.353,0.168,0.596
26,17,13,0.615,0.344,0.83
27,21,15,0.8,0.53,0.934
28,19,13,0.769,0.478,0.924
29,18,9,0.556,0.251,0.823
30,16,9,0.556,0.251,0.823
31,19,12,0.5,0.244,0.756
32,16,11,0.545,0.268,0.797
33,21,14,0.786,0.506,0.929
34,18,13,0.462,0.224,0.718
35,19,13,0.538,0.282,0.776
36,18,9,0.667,0.333,0.889
37,24,14,0.714,0.439,0.889
38,23,17,0.706,0.458,0.872
39,25,15,0.867,0.595,0.966
40,23,16,0.688,0.433,0.864
41,17,12,0.917,0.587,0.988
42,22,13,0.538,0.282,0.776
43,15,8,0.875,0.463,0.983
44,25,20,0.45,0.253,0.664
45,21,13,0.692,0.409,0.88
46,24,17,0.471,0.255,0.697
47,24,15,0.4,0.192,0.652
48,19,8,0.625,0.285,0.875
49,22,19,0.526,0.311,0.732
50,23,17,0.647,0.404,0.832
51,24,14,0.571,0.316,0.794
52,24,16,0.688,0.433,0.864
53,19,10,0.6,0.297,0.842
54,21,6,0.333,0.084,0.732
55,15,8,0.625,0.285,0.875
56,8,3,0.333,0.043,0.846
57,10,5,0.8,0.309,0.973
58,5,3,0.667,0.154,0.957
59,5,2,0.5,0.059,0.941
60,8,4,0.75,0.238,0.966
