"decision_point","n_total","n_observed_among_total","est","conf_int_lb","conf_int_ub"
1,11,8,0.75,0.377,0.937
2,33,16,0.812,0.553,0.938
3,42,25,0.64,0.44,0.801
4,46,34,0.706,0.534,0.834
5,46,37,0.676,0.511,0.806
6,32,12,0.583,0.308,0.815
7,34,26,0.538,0.35,0.716
8,43,28,0.643,0.454,0.796
9,44,36,0.583,0.419,0.731
10,51,40,0.7,0.543,0.821
11,47,33,0.636,0.463,0.781
12,40,23,0.826,0.618,0.933
13,36,23,0.565,0.363,0.748
14,44,35,0.543,0.379,0.698
15,40,34,0.765,0.595,0.878
16,45,22,0.636,0.423,0.807
17,49,34,0.618,0.447,0.763
18,30,12,0.5,0.244,0.756
19,34,22,0.682,0.466,0.84
20,46,34,0.647,0.476,0.787
21,36,25,0.64,0.44,0.801
22,47,38,0.553,0.395,0.701
23,31,20,0.7,0.473,0.859
24,36,14,0.786,0.506,0.929
25,37,25,0.48,0.296,0.669
26,38,30,0.7,0.517,0.836
27,33,26,0.769,0.572,0.892
28,39,25,0.72,0.518,0.86
29,36,22,0.682,0.466,0.84
30,36,16,0.688,0.433,0.864
31,42,27,0.704,0.51,0.844
32,40,22,0.636,0.423,0.807
33,36,23,0.783,0.572,0.907
34,37,27,0.519,0.336,0.696
35,34,20,0.7,0.473,0.859
36,41,18,0.556,0.33,0.76
37,45,27,0.63,0.438,0.788
38,41,29,0.655,0.469,0.803
39,42,28,0.786,0.598,0.9
40,45,34,0.706,0.534,0.834
41,41,29,0.759,0.573,0.88
42,37,18,0.667,0.429,0.842
43,37,25,0.8,0.6,0.914
44,42,31,0.581,0.404,0.739
45,36,25,0.6,0.403,0.77
46,50,33,0.576,0.405,0.73
47,40,28,0.571,0.387,0.738
48,39,17,0.765,0.514,0.909
49,41,30,0.633,0.451,0.784
50,38,25,0.6,0.403,0.77
51,36,22,0.636,0.423,0.807
52,43,28,0.75,0.561,0.876
53,44,23,0.652,0.443,0.816
54,45,18,0.722,0.481,0.879
55,32,20,0.65,0.426,0.823
56,24,15,0.667,0.406,0.854
57,20,13,0.923,0.609,0.989
58,18,11,0.818,0.493,0.954
59,15,7,0.714,0.327,0.928
60,15,6,0.833,0.369,0.977
