"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.143"," 0.195","-0.247"," 0.532","-0.183"," 0.468"," 0.730","74.000"," 0.468"
"age","-0.001"," 0.004","-0.008"," 0.007","-0.007"," 0.006","-0.211","74.000"," 0.833"
"(Intercept)","-0.342"," 0.283","-0.906"," 0.223","-0.814"," 0.131","-1.205","74.000"," 0.232"
"age"," 0.002"," 0.005","-0.008"," 0.011","-0.006"," 0.010"," 0.379","74.000"," 0.706"
"is_male","-0.138"," 0.143","-0.423"," 0.148","-0.376"," 0.101","-0.961","74.000"," 0.340"
"is_latino"," 0.210"," 0.143","-0.075"," 0.496","-0.028"," 0.449"," 1.470","74.000"," 0.146"
"is_not_latino_and_black"," 0.138"," 0.136","-0.132"," 0.408","-0.088"," 0.364"," 1.016","74.000"," 0.313"
"is_not_latino_and_other"," 0.130"," 0.186","-0.240"," 0.500","-0.180"," 0.439"," 0.699","74.000"," 0.487"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.012"," 0.050","74.000"," 0.961"
"has_partner"," 0.009"," 0.106","-0.202"," 0.221","-0.167"," 0.186"," 0.088","74.000"," 0.930"
"income_val","-0.006"," 0.016","-0.037"," 0.026","-0.032"," 0.021","-0.345","74.000"," 0.731"
"hour_coinflip_local"," 0.001"," 0.005","-0.009"," 0.011","-0.008"," 0.009"," 0.137","74.000"," 0.891"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.011"," 0.019","-0.009"," 0.017"," 0.544","74.000"," 0.588"
"any_response_2qs"," 0.042"," 0.067","-0.092"," 0.176","-0.070"," 0.154"," 0.625","74.000"," 0.534"
"any_recent_eligible_dp","-1.019"," 0.195","-1.408","-0.630","-1.345","-0.694","-5.218","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.866"," 0.130"," 0.607"," 1.125"," 0.649"," 1.082"," 6.663","74.000"," 0.000"
