"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.063","-0.122"," 0.249"," 0.093"," 0.680","74.000"," 0.499"
"any_response_2qs"," 0.055","-0.145"," 0.255"," 0.100"," 0.553","74.000"," 0.582"
"(Intercept)","-0.305","-0.797"," 0.186"," 0.247","-1.237","74.000"," 0.220"
"age"," 0.001","-0.006"," 0.008"," 0.004"," 0.403","74.000"," 0.688"
"is_male","-0.139","-0.424"," 0.147"," 0.143","-0.968","74.000"," 0.336"
"is_latino"," 0.211","-0.075"," 0.497"," 0.143"," 1.471","74.000"," 0.146"
"is_not_latino_and_black"," 0.137","-0.134"," 0.408"," 0.136"," 1.006","74.000"," 0.318"
"is_not_latino_and_other"," 0.131","-0.240"," 0.501"," 0.186"," 0.702","74.000"," 0.485"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.051","74.000"," 0.959"
"has_partner"," 0.011","-0.200"," 0.221"," 0.105"," 0.100","74.000"," 0.921"
"income_val","-0.005","-0.037"," 0.027"," 0.016","-0.341","74.000"," 0.734"
"hour_coinflip_local"," 0.001","-0.009"," 0.010"," 0.005"," 0.102","74.000"," 0.919"
"days_between_v1_and_coinflip_local"," 0.005","-0.011"," 0.020"," 0.008"," 0.592","74.000"," 0.556"
"any_response_2qs"," 0.015","-0.164"," 0.195"," 0.090"," 0.170","74.000"," 0.866"
"any_recent_eligible_dp","-1.020","-1.418","-0.621"," 0.200","-5.098","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.867"," 0.607"," 1.126"," 0.130"," 6.657","74.000"," 0.000"
