"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.146"," 0.093","-0.040"," 0.331","-0.009"," 0.301"," 1.566","74.000"," 0.122"
"baseline_tobacco_history","-0.003"," 0.006","-0.015"," 0.009","-0.013"," 0.007","-0.516","74.000"," 0.607"
"(Intercept)","-0.335"," 0.247","-0.828"," 0.158","-0.747"," 0.077","-1.353","74.000"," 0.180"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.004"," 0.007"," 0.391","74.000"," 0.697"
"is_male","-0.139"," 0.143","-0.424"," 0.146","-0.377"," 0.099","-0.974","74.000"," 0.333"
"is_latino"," 0.211"," 0.143","-0.074"," 0.496","-0.027"," 0.450"," 1.474","74.000"," 0.145"
"is_not_latino_and_black"," 0.136"," 0.136","-0.134"," 0.407","-0.089"," 0.362"," 1.006","74.000"," 0.318"
"is_not_latino_and_other"," 0.130"," 0.186","-0.240"," 0.501","-0.179"," 0.440"," 0.702","74.000"," 0.485"
"baseline_tobacco_history"," 0.002"," 0.008","-0.015"," 0.018","-0.012"," 0.015"," 0.210","74.000"," 0.834"
"has_partner"," 0.008"," 0.105","-0.202"," 0.219","-0.167"," 0.184"," 0.080","74.000"," 0.936"
"income_val","-0.005"," 0.016","-0.037"," 0.027","-0.032"," 0.021","-0.336","74.000"," 0.738"
"hour_coinflip_local"," 0.001"," 0.005","-0.009"," 0.011","-0.008"," 0.009"," 0.125","74.000"," 0.901"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.011"," 0.020","-0.009"," 0.017"," 0.550","74.000"," 0.584"
"any_response_2qs"," 0.042"," 0.068","-0.093"," 0.177","-0.071"," 0.155"," 0.621","74.000"," 0.537"
"any_recent_eligible_dp","-1.026"," 0.196","-1.417","-0.634","-1.353","-0.698","-5.222","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.866"," 0.130"," 0.607"," 1.126"," 0.650"," 1.083"," 6.654","74.000"," 0.000"
