"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.028"," 0.059","-0.090"," 0.145","-0.071"," 0.126"," 0.468","67.000"," 0.642"
"cig_available"," 0.187"," 0.103","-0.018"," 0.392"," 0.016"," 0.359"," 1.825","67.000"," 0.072"
"negative_affect"," 0.147"," 0.171","-0.194"," 0.489","-0.138"," 0.433"," 0.861","67.000"," 0.392"
"I(cig_available * negative_affect)","-0.325"," 0.191","-0.707"," 0.057","-0.644","-0.006","-1.698","67.000"," 0.094"
"(Intercept)"," 0.028"," 0.059","-0.090"," 0.145","-0.071"," 0.126"," 0.468","67.000"," 0.642"
"(Intercept) + negative_affect"," 0.175"," 0.162","-0.147"," 0.497","-0.094"," 0.444"," 1.084","67.000"," 0.282"
"(Intercept) + cig_available"," 0.215"," 0.094"," 0.027"," 0.402"," 0.058"," 0.372"," 2.288","67.000"," 0.025"
"(Intercept) + cig_available + negative_affect + I(cig_available * negative_affect)"," 0.037"," 0.132","-0.226"," 0.300","-0.182"," 0.257"," 0.283","67.000"," 0.778"
"(Intercept)","-0.127"," 0.233","-0.591"," 0.338","-0.515"," 0.261","-0.545","67.000"," 0.588"
"age","-0.002"," 0.004","-0.009"," 0.006","-0.008"," 0.004","-0.489","67.000"," 0.627"
"is_male","-0.086"," 0.169","-0.423"," 0.250","-0.367"," 0.195","-0.511","67.000"," 0.611"
"is_latino"," 0.215"," 0.169","-0.123"," 0.553","-0.067"," 0.498"," 1.270","67.000"," 0.209"
"is_not_latino_and_black"," 0.167"," 0.164","-0.161"," 0.495","-0.107"," 0.441"," 1.015","67.000"," 0.314"
"is_not_latino_and_other"," 0.175"," 0.219","-0.263"," 0.612","-0.191"," 0.540"," 0.797","67.000"," 0.428"
"baseline_tobacco_history"," 0.000"," 0.009","-0.017"," 0.017","-0.014"," 0.014"," 0.012","67.000"," 0.990"
"has_partner","-0.017"," 0.119","-0.254"," 0.220","-0.215"," 0.181","-0.142","67.000"," 0.888"
"income_val","-0.006"," 0.019","-0.045"," 0.032","-0.039"," 0.026","-0.333","67.000"," 0.740"
"hour_coinflip_local"," 0.002"," 0.006","-0.009"," 0.013","-0.007"," 0.012"," 0.436","67.000"," 0.664"
"days_between_v1_and_coinflip_local"," 0.003"," 0.010","-0.016"," 0.022","-0.013"," 0.019"," 0.311","67.000"," 0.757"
"any_recent_eligible_dp","-1.048"," 0.216","-1.479","-0.617","-1.408","-0.688","-4.856","67.000"," 0.000"
"engagement_most_recent_eligible"," 0.875"," 0.150"," 0.576"," 1.173"," 0.625"," 1.124"," 5.849","67.000"," 0.000"
"cig_available","-0.058"," 0.103","-0.264"," 0.149","-0.230"," 0.115","-0.560","67.000"," 0.577"
"negative_affect","-0.030"," 0.148","-0.324"," 0.265","-0.276"," 0.217","-0.201","67.000"," 0.841"
"I(cig_available * negative_affect)"," 0.131"," 0.208","-0.284"," 0.546","-0.216"," 0.477"," 0.629","67.000"," 0.532"
