"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)","-0.041","-0.379"," 0.297"," 0.169","-0.243","72.000"," 0.809"
"any_recent_eligible_dp"," 0.178","-0.200"," 0.555"," 0.189"," 0.938","72.000"," 0.351"
"coinflip_most_recent_eligible","-0.064","-0.207"," 0.078"," 0.071","-0.904","72.000"," 0.369"
"(Intercept)","-0.253","-0.665"," 0.159"," 0.207","-1.224","72.000"," 0.225"
"age"," 0.001","-0.006"," 0.008"," 0.004"," 0.386","72.000"," 0.701"
"is_male","-0.142","-0.428"," 0.143"," 0.143","-0.994","72.000"," 0.323"
"is_latino"," 0.212","-0.075"," 0.499"," 0.144"," 1.470","72.000"," 0.146"
"is_not_latino_and_black"," 0.138","-0.132"," 0.409"," 0.136"," 1.018","72.000"," 0.312"
"is_not_latino_and_other"," 0.127","-0.245"," 0.499"," 0.187"," 0.681","72.000"," 0.498"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.053","72.000"," 0.958"
"has_partner"," 0.009","-0.203"," 0.220"," 0.106"," 0.081","72.000"," 0.936"
"income_val","-0.005","-0.037"," 0.027"," 0.016","-0.336","72.000"," 0.738"
"hour_coinflip_local"," 0.001","-0.009"," 0.011"," 0.005"," 0.173","72.000"," 0.863"
"days_between_v1_and_coinflip_local"," 0.004","-0.011"," 0.020"," 0.008"," 0.559","72.000"," 0.578"
"any_response_2qs"," 0.041","-0.092"," 0.174"," 0.067"," 0.611","72.000"," 0.543"
"any_recent_eligible_dp","-1.090","-1.459","-0.721"," 0.185","-5.886","72.000"," 0.000"
"engagement_most_recent_eligible"," 0.870"," 0.610"," 1.129"," 0.130"," 6.679","72.000"," 0.000"
"coinflip_most_recent_eligible","-0.007","-0.125"," 0.110"," 0.059","-0.126","72.000"," 0.900"
