"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.215"," 0.027"," 0.402"," 0.094"," 2.287","71.000"," 0.025"
"dichotomized_2qs_response","-0.168","-0.359"," 0.023"," 0.096","-1.758","71.000"," 0.083"
"(Intercept)","-0.156","-0.635"," 0.323"," 0.240","-0.650","71.000"," 0.518"
"age","-0.002","-0.009"," 0.005"," 0.004","-0.534","71.000"," 0.595"
"is_male","-0.095","-0.432"," 0.243"," 0.169","-0.560","71.000"," 0.577"
"is_latino"," 0.212","-0.122"," 0.545"," 0.167"," 1.266","71.000"," 0.210"
"is_not_latino_and_black"," 0.159","-0.160"," 0.478"," 0.160"," 0.996","71.000"," 0.322"
"is_not_latino_and_other"," 0.165","-0.259"," 0.588"," 0.213"," 0.774","71.000"," 0.442"
"baseline_tobacco_history"," 0.001","-0.016"," 0.017"," 0.008"," 0.077","71.000"," 0.939"
"has_partner","-0.016","-0.249"," 0.217"," 0.117","-0.135","71.000"," 0.893"
"income_val","-0.007","-0.045"," 0.031"," 0.019","-0.361","71.000"," 0.719"
"hour_coinflip_local"," 0.002","-0.009"," 0.013"," 0.005"," 0.381","71.000"," 0.704"
"days_between_v1_and_coinflip_local"," 0.002","-0.017"," 0.020"," 0.010"," 0.163","71.000"," 0.871"
"any_recent_eligible_dp","-1.057","-1.445","-0.669"," 0.194","-5.435","71.000"," 0.000"
"engagement_most_recent_eligible"," 0.874"," 0.576"," 1.172"," 0.149"," 5.846","71.000"," 0.000"
"dichotomized_2qs_response"," 0.062","-0.141"," 0.265"," 0.102"," 0.607","71.000"," 0.546"
