"","Estimate","90% LCL","90% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.215"," 0.058"," 0.371"," 0.094"," 2.287","71.000"," 0.025"
"dichotomized_2qs_response","-0.168","-0.327","-0.009"," 0.096","-1.758","71.000"," 0.083"
"(Intercept)","-0.156","-0.557"," 0.244"," 0.240","-0.650","71.000"," 0.518"
"age","-0.002","-0.008"," 0.004"," 0.004","-0.534","71.000"," 0.595"
"is_male","-0.095","-0.377"," 0.187"," 0.169","-0.560","71.000"," 0.577"
"is_latino"," 0.212","-0.067"," 0.490"," 0.167"," 1.266","71.000"," 0.210"
"is_not_latino_and_black"," 0.159","-0.107"," 0.426"," 0.160"," 0.996","71.000"," 0.322"
"is_not_latino_and_other"," 0.165","-0.190"," 0.519"," 0.213"," 0.774","71.000"," 0.442"
"baseline_tobacco_history"," 0.001","-0.013"," 0.014"," 0.008"," 0.077","71.000"," 0.939"
"has_partner","-0.016","-0.211"," 0.179"," 0.117","-0.135","71.000"," 0.893"
"income_val","-0.007","-0.039"," 0.025"," 0.019","-0.361","71.000"," 0.719"
"hour_coinflip_local"," 0.002","-0.007"," 0.011"," 0.005"," 0.381","71.000"," 0.704"
"days_between_v1_and_coinflip_local"," 0.002","-0.014"," 0.017"," 0.010"," 0.163","71.000"," 0.871"
"any_recent_eligible_dp","-1.057","-1.381","-0.733"," 0.194","-5.435","71.000"," 0.000"
"engagement_most_recent_eligible"," 0.874"," 0.625"," 1.123"," 0.149"," 5.846","71.000"," 0.000"
"dichotomized_2qs_response"," 0.062","-0.108"," 0.232"," 0.102"," 0.607","71.000"," 0.546"
