"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.123","-0.292"," 0.538"," 0.208"," 0.591","73.000"," 0.556"
"eligibility_lag1","-0.017","-0.420"," 0.386"," 0.202","-0.084","73.000"," 0.933"
"(Intercept)","-0.331","-0.889"," 0.226"," 0.280","-1.185","73.000"," 0.240"
"age"," 0.001","-0.006"," 0.008"," 0.004"," 0.406","73.000"," 0.686"
"is_male","-0.138","-0.422"," 0.146"," 0.143","-0.968","73.000"," 0.336"
"is_latino"," 0.210","-0.075"," 0.495"," 0.143"," 1.468","73.000"," 0.146"
"is_not_latino_and_black"," 0.141","-0.129"," 0.412"," 0.136"," 1.043","73.000"," 0.300"
"is_not_latino_and_other"," 0.132","-0.241"," 0.504"," 0.187"," 0.704","73.000"," 0.484"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.062","73.000"," 0.951"
"has_partner"," 0.008","-0.202"," 0.218"," 0.105"," 0.076","73.000"," 0.940"
"income_val","-0.006","-0.037"," 0.026"," 0.016","-0.352","73.000"," 0.726"
"hour_coinflip_local"," 0.000","-0.010"," 0.010"," 0.005"," 0.076","73.000"," 0.940"
"days_between_v1_and_coinflip_local"," 0.004","-0.011"," 0.020"," 0.008"," 0.584","73.000"," 0.561"
"any_response_2qs"," 0.042","-0.092"," 0.176"," 0.067"," 0.621","73.000"," 0.536"
"any_recent_eligible_dp","-1.171","-1.662","-0.680"," 0.246","-4.751","73.000"," 0.000"
"engagement_most_recent_eligible"," 0.866"," 0.607"," 1.125"," 0.130"," 6.666","73.000"," 0.000"
"eligibility_lag1"," 0.164","-0.235"," 0.563"," 0.200"," 0.819","73.000"," 0.415"
