"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)","-0.040","-0.365"," 0.285"," 0.163","-0.244","73.000"," 0.808"
"any_recent_eligible_dp"," 0.410","-0.031"," 0.852"," 0.221"," 1.853","73.000"," 0.068"
"engagement_most_recent_eligible","-0.329","-0.640","-0.018"," 0.156","-2.109","73.000"," 0.038"
"(Intercept)","-0.268","-0.685"," 0.149"," 0.209","-1.283","73.000"," 0.204"
"age"," 0.001","-0.006"," 0.008"," 0.003"," 0.382","73.000"," 0.704"
"is_male","-0.130","-0.412"," 0.152"," 0.142","-0.918","73.000"," 0.362"
"is_latino"," 0.217","-0.070"," 0.503"," 0.144"," 1.506","73.000"," 0.136"
"is_not_latino_and_black"," 0.138","-0.129"," 0.405"," 0.134"," 1.029","73.000"," 0.307"
"is_not_latino_and_other"," 0.146","-0.215"," 0.507"," 0.181"," 0.807","73.000"," 0.422"
"baseline_tobacco_history"," 0.001","-0.013"," 0.014"," 0.007"," 0.094","73.000"," 0.926"
"has_partner"," 0.014","-0.193"," 0.221"," 0.104"," 0.135","73.000"," 0.893"
"income_val","-0.006","-0.038"," 0.026"," 0.016","-0.368","73.000"," 0.714"
"hour_coinflip_local"," 0.002","-0.008"," 0.011"," 0.005"," 0.315","73.000"," 0.754"
"days_between_v1_and_coinflip_local"," 0.006","-0.009"," 0.021"," 0.008"," 0.770","73.000"," 0.444"
"any_response_2qs"," 0.038","-0.093"," 0.169"," 0.066"," 0.576","73.000"," 0.566"
"any_recent_eligible_dp","-1.241","-1.647","-0.835"," 0.204","-6.093","73.000"," 0.000"
"engagement_most_recent_eligible"," 1.038"," 0.697"," 1.380"," 0.171"," 6.063","73.000"," 0.000"
