"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.235"," 0.130","-0.024"," 0.495"," 0.019"," 0.452"," 1.810","72.000"," 0.074"
"is_latino","-0.182"," 0.145","-0.472"," 0.107","-0.425"," 0.060","-1.255","72.000"," 0.214"
"is_not_latino_and_black","-0.183"," 0.149","-0.481"," 0.114","-0.432"," 0.066","-1.227","72.000"," 0.224"
"is_not_latino_and_other","-0.139"," 0.157","-0.451"," 0.173","-0.400"," 0.122","-0.887","72.000"," 0.378"
"(Intercept)","-0.395"," 0.264","-0.920"," 0.131","-0.834"," 0.044","-1.498","72.000"," 0.138"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.005"," 0.007"," 0.389","72.000"," 0.699"
"is_male","-0.138"," 0.144","-0.425"," 0.149","-0.378"," 0.102","-0.957","72.000"," 0.342"
"is_latino"," 0.300"," 0.203","-0.105"," 0.705","-0.038"," 0.639"," 1.478","72.000"," 0.144"
"is_not_latino_and_black"," 0.229"," 0.191","-0.151"," 0.609","-0.089"," 0.546"," 1.199","72.000"," 0.234"
"is_not_latino_and_other"," 0.199"," 0.243","-0.286"," 0.684","-0.206"," 0.604"," 0.818","72.000"," 0.416"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.012"," 0.049","72.000"," 0.961"
"has_partner"," 0.010"," 0.107","-0.204"," 0.223","-0.169"," 0.188"," 0.089","72.000"," 0.930"
"income_val","-0.005"," 0.016","-0.038"," 0.027","-0.032"," 0.022","-0.325","72.000"," 0.746"
"hour_coinflip_local"," 0.001"," 0.005","-0.009"," 0.011","-0.007"," 0.009"," 0.189","72.000"," 0.851"
"days_between_v1_and_coinflip_local"," 0.004"," 0.007","-0.011"," 0.019","-0.008"," 0.017"," 0.576","72.000"," 0.566"
"any_response_2qs"," 0.043"," 0.068","-0.093"," 0.179","-0.070"," 0.157"," 0.637","72.000"," 0.526"
"any_recent_eligible_dp","-1.021"," 0.171","-1.362","-0.679","-1.306","-0.735","-5.960","72.000"," 0.000"
"engagement_most_recent_eligible"," 0.869"," 0.131"," 0.607"," 1.131"," 0.650"," 1.088"," 6.616","72.000"," 0.000"
