"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.110"," 0.054"," 0.003"," 0.218"," 0.020"," 0.200"," 2.041","74.000"," 0.045"
"is_male","-0.016"," 0.107","-0.229"," 0.197","-0.194"," 0.162","-0.149","74.000"," 0.882"
"(Intercept)","-0.327"," 0.243","-0.810"," 0.157","-0.731"," 0.077","-1.347","74.000"," 0.182"
"age"," 0.001"," 0.004","-0.006"," 0.009","-0.005"," 0.007"," 0.393","74.000"," 0.695"
"is_male","-0.131"," 0.172","-0.474"," 0.213","-0.418"," 0.156","-0.758","74.000"," 0.451"
"is_latino"," 0.211"," 0.144","-0.076"," 0.497","-0.029"," 0.450"," 1.466","74.000"," 0.147"
"is_not_latino_and_black"," 0.137"," 0.138","-0.137"," 0.412","-0.092"," 0.367"," 0.998","74.000"," 0.321"
"is_not_latino_and_other"," 0.130"," 0.187","-0.243"," 0.503","-0.182"," 0.442"," 0.695","74.000"," 0.489"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.012"," 0.050","74.000"," 0.960"
"has_partner"," 0.009"," 0.106","-0.203"," 0.220","-0.168"," 0.185"," 0.081","74.000"," 0.936"
"income_val","-0.005"," 0.016","-0.037"," 0.026","-0.032"," 0.021","-0.339","74.000"," 0.736"
"hour_coinflip_local"," 0.001"," 0.005","-0.009"," 0.011","-0.008"," 0.009"," 0.128","74.000"," 0.898"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.011"," 0.019","-0.009"," 0.017"," 0.540","74.000"," 0.591"
"any_response_2qs"," 0.042"," 0.068","-0.093"," 0.177","-0.070"," 0.155"," 0.624","74.000"," 0.535"
"any_recent_eligible_dp","-1.019"," 0.197","-1.412","-0.627","-1.347","-0.691","-5.173","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.867"," 0.132"," 0.604"," 1.129"," 0.647"," 1.086"," 6.571","74.000"," 0.000"
