"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.118"," 0.056"," 0.006"," 0.231"," 0.024"," 0.212"," 2.099","71.000"," 0.039"
"negative_affect","-0.019"," 0.119","-0.256"," 0.219","-0.217"," 0.180","-0.156","71.000"," 0.877"
"(Intercept) + negative_affect"," 0.100"," 0.114","-0.127"," 0.327","-0.090"," 0.289"," 0.876","71.000"," 0.384"
"negative_affect","-0.019"," 0.119","-0.256"," 0.219","-0.217"," 0.180","-0.156","71.000"," 0.877"
"(Intercept)","-0.167"," 0.234","-0.633"," 0.299","-0.557"," 0.223","-0.714","71.000"," 0.478"
"age","-0.002"," 0.004","-0.009"," 0.005","-0.008"," 0.004","-0.544","71.000"," 0.588"
"is_male","-0.091"," 0.166","-0.422"," 0.240","-0.367"," 0.186","-0.548","71.000"," 0.586"
"is_latino"," 0.209"," 0.168","-0.126"," 0.543","-0.071"," 0.488"," 1.244","71.000"," 0.218"
"is_not_latino_and_black"," 0.156"," 0.161","-0.166"," 0.477","-0.113"," 0.424"," 0.964","71.000"," 0.338"
"is_not_latino_and_other"," 0.161"," 0.216","-0.270"," 0.593","-0.199"," 0.522"," 0.746","71.000"," 0.458"
"baseline_tobacco_history"," 0.001"," 0.008","-0.015"," 0.017","-0.013"," 0.014"," 0.084","71.000"," 0.933"
"has_partner","-0.017"," 0.120","-0.256"," 0.221","-0.216"," 0.182","-0.144","71.000"," 0.886"
"income_val","-0.006"," 0.019","-0.044"," 0.032","-0.038"," 0.026","-0.315","71.000"," 0.754"
"hour_coinflip_local"," 0.002"," 0.005","-0.009"," 0.013","-0.007"," 0.011"," 0.414","71.000"," 0.680"
"days_between_v1_and_coinflip_local"," 0.001"," 0.009","-0.018"," 0.020","-0.015"," 0.017"," 0.101","71.000"," 0.919"
"any_recent_eligible_dp","-1.015"," 0.208","-1.430","-0.600","-1.362","-0.668","-4.879","71.000"," 0.000"
"engagement_most_recent_eligible"," 0.871"," 0.148"," 0.575"," 1.166"," 0.624"," 1.117"," 5.881","71.000"," 0.000"
"negative_affect"," 0.031"," 0.095","-0.158"," 0.219","-0.127"," 0.188"," 0.324","71.000"," 0.747"
