"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.048","0.939","1.169","0.956","1.148"
"2","cig_available","1.148","0.949","1.387","0.979","1.345"
"3","(Intercept)","1.048","0.939","1.169","0.956","1.148"
"4","(Intercept) + cig_available","1.202","1.012","1.428","1.041","1.389"
"5","(Intercept)","0.868","0.541","1.393","0.585","1.289"
"6","age","0.998","0.990","1.005","0.992","1.004"
"7","is_male","0.910","0.646","1.281","0.683","1.211"
"8","is_latino","1.240","0.886","1.734","0.937","1.641"
"9","is_not_latino_and_black","1.177","0.854","1.621","0.900","1.538"
"10","is_not_latino_and_other","1.189","0.774","1.826","0.830","1.702"
"11","baseline_tobacco_history","1.000","0.983","1.017","0.986","1.014"
"12","has_partner","0.980","0.773","1.243","0.804","1.195"
"13","income_val","0.994","0.956","1.033","0.962","1.026"
"14","hour_coinflip_local","1.002","0.991","1.013","0.993","1.011"
"15","days_between_v1_and_coinflip_local","1.002","0.984","1.021","0.987","1.018"
"16","any_recent_eligible_dp","0.366","0.230","0.582","0.249","0.539"
"17","engagement_most_recent_eligible","2.388","1.772","3.219","1.861","3.065"
"18","cig_available","0.964","0.794","1.171","0.819","1.134"
