"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.028","0.914","1.156","0.932","1.134"
"2","cig_available","1.206","0.983","1.480","1.016","1.431"
"3","negative_affect","1.159","0.823","1.631","0.871","1.542"
"4","I(cig_available * negative_affect)","0.722","0.493","1.059","0.525","0.994"
"5","(Intercept)","1.028","0.914","1.156","0.932","1.134"
"6","(Intercept) + negative_affect","1.191","0.863","1.644","0.910","1.560"
"7","(Intercept) + cig_available","1.240","1.028","1.495","1.060","1.450"
"8","(Intercept) + cig_available + negative_affect + I(cig_available * negative_affect)","1.038","0.798","1.350","0.833","1.293"
"9","(Intercept)","0.881","0.554","1.402","0.598","1.299"
"10","age","0.998","0.991","1.006","0.992","1.004"
"11","is_male","0.917","0.655","1.284","0.692","1.215"
"12","is_latino","1.240","0.884","1.739","0.935","1.645"
"13","is_not_latino_and_black","1.182","0.851","1.641","0.898","1.554"
"14","is_not_latino_and_other","1.191","0.769","1.845","0.826","1.717"
"15","baseline_tobacco_history","1.000","0.983","1.017","0.986","1.015"
"16","has_partner","0.983","0.776","1.246","0.807","1.199"
"17","income_val","0.994","0.956","1.033","0.962","1.026"
"18","hour_coinflip_local","1.002","0.991","1.014","0.993","1.012"
"19","days_between_v1_and_coinflip_local","1.003","0.984","1.022","0.987","1.019"
"20","any_recent_eligible_dp","0.351","0.228","0.539","0.245","0.503"
"21","engagement_most_recent_eligible","2.398","1.779","3.232","1.869","3.077"
"22","cig_available","0.944","0.768","1.160","0.794","1.121"
"23","negative_affect","0.971","0.723","1.303","0.759","1.242"
"24","I(cig_available * negative_affect)","1.140","0.753","1.726","0.806","1.612"
