"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.126","1.006","1.259","1.025","1.236"
"2","negative_affect","0.982","0.774","1.245","0.805","1.197"
"3","(Intercept)","1.126","1.006","1.259","1.025","1.236"
"4","(Intercept) + negative_affect","1.105","0.881","1.386","0.914","1.336"
"5","(Intercept)","0.846","0.531","1.349","0.573","1.250"
"6","age","0.998","0.991","1.005","0.992","1.004"
"7","is_male","0.913","0.656","1.271","0.693","1.204"
"8","is_latino","1.232","0.882","1.722","0.931","1.630"
"9","is_not_latino_and_black","1.168","0.847","1.611","0.893","1.528"
"10","is_not_latino_and_other","1.175","0.763","1.809","0.819","1.685"
"11","baseline_tobacco_history","1.001","0.985","1.017","0.987","1.014"
"12","has_partner","0.983","0.774","1.248","0.805","1.200"
"13","income_val","0.994","0.957","1.032","0.963","1.026"
"14","hour_coinflip_local","1.002","0.991","1.013","0.993","1.012"
"15","days_between_v1_and_coinflip_local","1.001","0.982","1.020","0.985","1.017"
"16","any_recent_eligible_dp","0.362","0.239","0.549","0.256","0.513"
"17","engagement_most_recent_eligible","2.388","1.778","3.208","1.866","3.057"
"18","negative_affect","1.031","0.854","1.245","0.881","1.207"
