"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 2.904"," 2.515"," 3.292"," 0.195","14.885","76.000"," 0.000"
"(Intercept)","-3.857","-5.407","-2.306"," 0.778","-4.954","76.000"," 0.000"
"age"," 0.015","-0.004"," 0.034"," 0.010"," 1.530","76.000"," 0.130"
"is_male","-0.350","-0.860"," 0.160"," 0.256","-1.366","76.000"," 0.176"
"is_latino"," 0.337","-0.208"," 0.882"," 0.274"," 1.231","76.000"," 0.222"
"is_not_latino_and_black","-0.077","-0.633"," 0.479"," 0.279","-0.277","76.000"," 0.783"
"is_not_latino_and_other","-0.794","-1.592"," 0.004"," 0.401","-1.981","76.000"," 0.051"
"baseline_tobacco_history"," 0.007","-0.028"," 0.042"," 0.018"," 0.381","76.000"," 0.704"
"has_partner","-0.179","-0.619"," 0.262"," 0.221","-0.808","76.000"," 0.422"
"income_val","-0.060","-0.155"," 0.035"," 0.047","-1.263","76.000"," 0.210"
"hour_coinflip_local","-0.042","-0.074","-0.011"," 0.016","-2.679","76.000"," 0.009"
"days_between_v1_and_coinflip_local","-0.067","-0.160"," 0.026"," 0.047","-1.430","76.000"," 0.157"
"any_response_2qs"," 0.284","-0.173"," 0.741"," 0.229"," 1.239","76.000"," 0.219"
"any_recent_eligible_dp"," 0.327","-0.944"," 1.597"," 0.638"," 0.512","76.000"," 0.610"
"engagement_most_recent_eligible"," 0.500"," 0.085"," 0.915"," 0.208"," 2.400","76.000"," 0.019"
