"","Estimate","95% LCL","95% UCL","StdErr","Wald","df1","df2","p-value"
"(Intercept)","  0.496","  0.440","  0.552","  0.028","308.111","  1.000"," 76.000","  0.000"
"(Intercept)","  0.123"," -0.286","  0.532","  0.205","  0.357","  1.000"," 76.000","  0.552"
"age","  0.001"," -0.002","  0.003","  0.001","  0.402","  1.000"," 76.000","  0.528"
"is_male"," -0.047"," -0.106","  0.012","  0.030","  2.536","  1.000"," 76.000","  0.115"
"is_latino","  0.014"," -0.053","  0.082","  0.034","  0.181","  1.000"," 76.000","  0.672"
"is_not_latino_and_black"," -0.007"," -0.073","  0.059","  0.033","  0.045","  1.000"," 76.000","  0.832"
"is_not_latino_and_other"," -0.098"," -0.170"," -0.026","  0.036","  7.393","  1.000"," 76.000","  0.008"
"baseline_tobacco_history","  0.001"," -0.002","  0.005","  0.002","  0.653","  1.000"," 76.000","  0.422"
"has_partner"," -0.011"," -0.060","  0.038","  0.024","  0.202","  1.000"," 76.000","  0.654"
"income_val"," -0.005"," -0.014","  0.004","  0.005","  1.243","  1.000"," 76.000","  0.268"
"hour_coinflip_local"," -0.002"," -0.006","  0.001","  0.002","  2.125","  1.000"," 76.000","  0.149"
"days_between_v1_and_coinflip_local"," -0.009"," -0.016"," -0.002","  0.004","  6.558","  1.000"," 76.000","  0.012"
"any_response_2qs","  0.152","  0.114","  0.190","  0.019"," 62.671","  1.000"," 76.000","  0.000"
"any_recent_eligible_dp","  0.076"," -0.312","  0.463","  0.195","  0.151","  1.000"," 76.000","  0.699"
"engagement_most_recent_eligible","  0.081","  0.041","  0.121","  0.020"," 16.242","  1.000"," 76.000","  0.000"
