"","coefficient","estimate","LCL95","UCL95","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)","beta0"," 2.837"," 2.445"," 3.228","0.196","14.440","75.000","0.000"
"Low Effort Prompt (versus No Prompt)","beta1"," 2.963"," 2.563"," 3.364","0.201","14.756","75.000","0.000"
"Intercept","alpha0","-3.921","-5.479","-2.363","0.782","-5.014","75.000","0.000"
"age","alpha1"," 0.015","-0.004"," 0.033","0.010"," 1.529","75.000","0.130"
"is_male","alpha2","-0.344","-0.855"," 0.168","0.257","-1.339","75.000","0.185"
"is_latino","alpha3"," 0.344","-0.201"," 0.890","0.274"," 1.258","75.000","0.212"
"is_not_latino_and_black","alpha4","-0.075","-0.632"," 0.482","0.280","-0.269","75.000","0.789"
"is_not_latino_and_other","alpha5","-0.795","-1.602"," 0.013","0.405","-1.960","75.000","0.054"
"baseline_tobacco_history","alpha6"," 0.007","-0.029"," 0.042","0.018"," 0.374","75.000","0.709"
"has_partner","alpha7","-0.175","-0.616"," 0.265","0.221","-0.793","75.000","0.430"
"income_val","alpha8","-0.061","-0.155"," 0.033","0.047","-1.290","75.000","0.201"
"hour_coinflip_local","alpha9","-0.042","-0.073","-0.010","0.016","-2.651","75.000","0.010"
"days_between_v1_and_coinflip_local","alpha10","-0.067","-0.161"," 0.026","0.047","-1.439","75.000","0.154"
"any_response_2qs","alpha11"," 0.286","-0.171"," 0.743","0.230"," 1.246","75.000","0.217"
"any_recent_eligible_dp","alpha12"," 0.387","-0.889"," 1.663","0.641"," 0.605","75.000","0.547"
"engagement_most_recent_eligible","alpha13"," 0.501"," 0.084"," 0.918","0.209"," 2.394","75.000","0.019"
