"","variable","estimates","LCL95","UCL95","std_err"
"1","(Intercept)","-0.1373427353","-0.531694117"," 0.2570086460","0.201203382"
"2","is_high_effort"," 0.4643079575"," 0.396193858"," 0.5324220570","0.034752730"
"3","is_low_effort"," 0.5255796728"," 0.461760480"," 0.5893988658","0.032561411"
"4","age"," 0.0008281032","-0.001709184"," 0.0033653902","0.001294558"
"5","is_male","-0.0473429975","-0.105922237"," 0.0112362421","0.029887916"
"6","is_latino"," 0.0154343873","-0.051502041"," 0.0823708153","0.034151866"
"7","is_not_latino_and_black","-0.0076034007","-0.072427565"," 0.0572207636","0.033074161"
"8","is_not_latino_and_other","-0.0974801956","-0.168014891","-0.0269455006","0.035987751"
"9","baseline_tobacco_history"," 0.0013671081","-0.001954601"," 0.0046888173","0.001694781"
"10","has_partner","-0.0099889269","-0.057951973"," 0.0379741193","0.024471392"
"11","income_val","-0.0052427417","-0.014048105"," 0.0035626218","0.004492615"
"12","hour_coinflip_local","-0.0023552855","-0.005674405"," 0.0009638344","0.001693460"
"13","days_between_v1_and_coinflip_local","-0.0091947288","-0.016101398","-0.0022880594","0.003523876"
"14","any_response_2qs"," 0.1511660425"," 0.113399155"," 0.1889329301","0.019269174"
"15","any_recent_eligible_dp"," 0.0874113231","-0.285505970"," 0.4603286158","0.190267421"
"16","engagement_most_recent_eligible"," 0.0812692887"," 0.041446333"," 0.1210922445","0.020318208"
