"","predictor","screened_out_01","screened_out_02","screened_out_03"
"1","any_response_2qs",1,0,1
"2","driving_data_not_found_combined",1,1,1
"3","hour_coinflip_local",1,1,1
"4","is_complete_v1_quest",1,1,1
"5","age",1,1,1
"6","is_male",1,1,0
"7","income_val",1,1,1
"8","food_security_mean",1,1,1
"9","SSSladders",1,1,1
"10","pp1_1",1,1,1
"11","FinancialStrain",1,1,1
"12","nd_mean",1,0,1
"13","srq_mean",1,1,1
"14","has_partner",1,1,1
"15","sni_count",1,1,1
"16","sni_people",1,1,1
"17","sni_active",1,1,1
"18","isel_total",1,0,1
"19","isel_belonging",1,0,1
"20","isel_appraisal",1,0,1
"21","isel_tangible",1,1,1
"22","hours_elapsed_since_most_recent_eligible",--,0,0
"23","days_between_v1_and_coinflip_local",--,1,--
"24","any_app_usage_preblock",--,--,0
"25","total_app_usage_time_spent_preblock",--,--,0
"26","num_click_preblock",--,--,0
"27","Y_lag1",--,--,0
"28","src_scored_lag1",--,--,1
"29","cigarette_availability_lag1",--,--,1
"30","wearing_patch_lag1",--,--,0
"31","cigarette_counts_lag1",--,--,0
"32","Y_sum_past24hrs",--,--,0
"33","src_scored_mean_past24hrs",--,--,1
"34","cigarette_availability_mean_past24hrs",--,--,0
"35","wearing_patch_sum_past24hrs",--,--,0
"36","cigarette_counts_sum_past24hrs",--,--,0
