"","predictor","screened_out_01","screened_out_02","screened_out_03"
"1","hour_coinflip_local",1,1,1
"2","age",1,1,1
"3","income_val",1,1,0
"4","food_security_mean",1,1,1
"5","SSSladders",1,1,1
"6","pp1_1",1,1,1
"7","FinancialStrain",1,0,1
"8","nd_mean",1,1,1
"9","srq_mean",1,1,1
"10","sni_count",1,0,1
"11","sni_people",1,1,1
"12","sni_active",1,1,0
"13","isel_total",1,1,1
"14","isel_belonging",1,1,1
"15","isel_appraisal",1,1,1
"16","isel_tangible",1,1,1
"17","days_between_v1_and_coinflip_local",--,0,--
