"","predictor","est_beta0","conf_int_lb_beta0","conf_int_ub_beta0","est_beta1","conf_int_lb_beta1","conf_int_ub_beta1","screened_out"
"1","any_response_2qs",-0.154,-0.865,0.557,0.863,0.006,1.721,0
"2","driving_data_not_found_combined",0.357,-0.222,0.935,0.365,-0.211,0.942,1
"3","hour_coinflip_local",0.789,-0.35,1.928,-0.022,-0.107,0.064,1
"4","hours_elapsed_since_most_recent_eligible",-0.367,-1.081,0.346,0.056,0.012,0.099,0
"5","days_between_v1_and_coinflip_local",0.502,-0.297,1.3,0.002,-0.123,0.127,1
"6","is_complete_v1_quest",0.55,-0.009,1.109,-0.123,-1.201,0.956,1
"7","age",-0.044,-1.978,1.891,0.012,-0.031,0.054,1
"8","is_male",0.731,0.145,1.317,-0.631,-1.644,0.382,1
"9","income_val",0.573,-0.369,1.514,-0.02,-0.175,0.134,1
"10","food_security_mean",0.192,-1.018,1.403,0.31,-0.562,1.181,1
"11","SSSladders",0.211,-1.43,1.851,0.065,-0.197,0.326,1
"12","pp1_1",0.194,-1.425,1.813,0.127,-0.429,0.683,1
"13","FinancialStrain",0.971,-0.668,2.61,-0.243,-1.153,0.666,1
"14","nd_mean",-1.06,-2.653,0.532,0.901,0.083,1.719,0
"15","srq_mean",-0.119,-2.582,2.344,0.178,-0.457,0.813,1
"16","has_partner",0.742,0.037,1.447,-0.412,-1.402,0.579,1
"17","sni_count",1.011,-0.532,2.554,-0.092,-0.356,0.172,1
"18","sni_people",1.005,-0.161,2.171,-0.038,-0.113,0.036,1
"19","sni_active",0.79,-0.083,1.663,-0.232,-0.739,0.275,1
"20","isel_belonging",2.746,0.561,4.932,-0.745,-1.452,-0.038,0
"21","isel_appraisal",3.088,0.809,5.367,-0.819,-1.507,-0.131,0
"22","isel_tangible",2.242,-0.167,4.651,-0.56,-1.296,0.176,1
