"","predictor","est_beta0","conf_int_lb_beta0","conf_int_ub_beta0","est_beta1","conf_int_lb_beta1","conf_int_ub_beta1","est_beta2","conf_int_lb_beta2","conf_int_ub_beta2","screened_out"
"1","any_response_2qs",0.081,-0.311,0.473,0.048,-0.001,0.097,0.24,-0.098,0.577,1
"2","any_app_usage_preblock",-0.034,-0.404,0.335,0.059,0.008,0.11,0.545,0.311,0.779,0
"3","total_app_usage_time_spent_preblock",0.121,-0.202,0.445,0.056,0.006,0.105,0.002,0.001,0.003,0
"4","num_click_preblock",0.107,-0.223,0.436,0.057,0.007,0.107,0.043,0.022,0.064,0
"5","driving_data_not_found_combined",0.244,-0.094,0.582,0.047,-0.002,0.095,0.027,-0.206,0.26,1
"6","hour_coinflip_local",-0.073,-0.553,0.408,0.048,-0.001,0.097,0.023,-0.005,0.051,1
"7","hours_elapsed_since_most_recent_eligible",0.352,0.025,0.68,0.048,-0.001,0.097,-0.027,-0.05,-0.005,0
"8","Y_lag1",-0.835,-1.186,-0.485,0.023,-0.018,0.064,2.105,1.703,2.508,0
"9","src_scored_lag1",0.483,-0.408,1.374,0.045,-0.013,0.102,-0.06,-0.323,0.204,1
"10","cigarette_availability_lag1",0.655,0.04,1.269,0.025,-0.038,0.088,-0.11,-0.256,0.036,1
"11","wearing_patch_lag1",0.253,-0.12,0.627,0.002,-0.065,0.069,0.586,0.135,1.037,0
"12","cigarette_counts_lag1",0.485,0.091,0.879,0.024,-0.033,0.081,-0.155,-0.269,-0.042,0
"13","Y_sum_past24hrs",-1.064,-1.545,-0.583,-0.058,-0.116,0,0.734,0.577,0.891,0
"14","src_scored_mean_past24hrs",1.452,-0.201,3.105,0.081,-0.023,0.185,-0.304,-0.868,0.261,1
"15","cigarette_availability_mean_past24hrs",1.745,0.746,2.745,0.018,-0.096,0.132,-0.383,-0.654,-0.113,0
"16","wearing_patch_sum_past24hrs",0.524,-0.056,1.103,-0.035,-0.16,0.089,0.253,0.096,0.41,0
"17","cigarette_counts_sum_past24hrs",0.922,0.328,1.517,0.038,-0.062,0.137,-0.105,-0.184,-0.026,0
"18","is_complete_v1_quest",0.386,0.013,0.76,0.048,-0.001,0.096,-0.394,-0.986,0.198,1
"19","age",-0.374,-1.436,0.688,0.043,-0.006,0.092,0.015,-0.008,0.038,1
"20","is_male",0.496,0.143,0.85,0.044,-0.005,0.093,-0.658,-1.295,-0.02,0
"21","income_val",0.375,-0.198,0.947,0.043,-0.009,0.094,-0.028,-0.119,0.064,1
"22","food_security_mean",-0.336,-1.157,0.485,0.05,-0.001,0.101,0.405,-0.1,0.91,1
"23","SSSladders",0.141,-0.934,1.216,0.051,0.001,0.101,0.018,-0.143,0.179,1
"24","pp1_1",-0.057,-1.027,0.913,0.049,-0.001,0.099,0.111,-0.195,0.417,1
"25","FinancialStrain",-0.007,-1.012,0.997,0.049,0,0.099,0.143,-0.352,0.637,1
"26","nd_mean",0.209,-0.881,1.299,0.051,0.002,0.101,0.024,-0.512,0.561,1
"27","srq_mean",-0.72,-1.772,0.332,0.047,-0.006,0.099,0.247,-0.046,0.541,1
"28","has_partner",0.4,-0.028,0.828,0.049,-0.001,0.099,-0.291,-0.873,0.29,1
"29","sni_count",0.17,-0.614,0.954,0.047,-0.005,0.098,0.01,-0.133,0.154,1
"30","sni_people",0.527,-0.08,1.135,0.045,-0.006,0.097,-0.025,-0.065,0.015,1
"31","sni_active",0.356,-0.158,0.87,0.045,-0.006,0.097,-0.109,-0.427,0.208,1
"32","isel_total",1.03,-0.112,2.173,0.048,-0.004,0.099,-0.272,-0.658,0.114,1
"33","isel_belonging",0.808,-0.227,1.844,0.046,-0.005,0.098,-0.204,-0.571,0.163,1
"34","isel_appraisal",0.965,-0.088,2.018,0.048,-0.003,0.099,-0.241,-0.572,0.089,1
"35","isel_tangible",0.803,-0.284,1.891,0.048,-0.003,0.099,-0.197,-0.565,0.172,1
