"","predictor","est_beta0","conf_int_lb_beta0","conf_int_ub_beta0","est_beta1","conf_int_lb_beta1","conf_int_ub_beta1","est_beta2","conf_int_lb_beta2","conf_int_ub_beta2","est_beta3","conf_int_lb_beta3","conf_int_ub_beta3","screened_out"
"1","hour_coinflip_local",-0.82,-1.789,0.149,0.049,0,0.098,0.14,0.006,0.274,-0.004,-0.009,0,1
"2","age",1.334,-2.796,5.464,0.044,-0.005,0.093,-0.068,-0.258,0.122,0.001,-0.001,0.003,1
"3","income_val",1.145,0.223,2.068,0.046,-0.007,0.099,-0.432,-0.801,-0.063,0.036,0.006,0.067,0
"4","food_security_mean",-0.161,-2.221,1.899,0.05,-0.001,0.101,0.168,-2.329,2.666,0.069,-0.605,0.742,1
"5","SSSladders",-0.601,-2.824,1.622,0.049,-0.001,0.1,0.282,-0.456,1.021,-0.021,-0.081,0.038,1
"6","pp1_1",0.554,-2.326,3.435,0.051,0.002,0.1,-0.311,-2.078,1.457,0.065,-0.188,0.318,1
"7","FinancialStrain",0.202,-2.809,3.213,0.05,0,0.099,-0.105,-3.47,3.26,0.065,-0.813,0.943,1
"8","nd_mean",-1.006,-3.782,1.771,0.049,-0.001,0.098,1.204,-1.47,3.879,-0.255,-0.864,0.353,1
"9","srq_mean",-0.751,-3.119,1.617,0.047,-0.006,0.1,0.267,-1.335,1.869,-0.003,-0.25,0.244,1
"10","sni_count",0.607,-0.946,2.16,0.046,-0.006,0.097,-0.179,-0.788,0.431,0.018,-0.037,0.073,1
"11","sni_people",1.067,-0.009,2.143,0.047,-0.005,0.098,-0.119,-0.279,0.041,0.003,-0.002,0.008,1
"12","sni_active",0.68,0.022,1.337,0.051,0,0.102,-0.893,-1.703,-0.084,0.245,0.012,0.478,0
"13","isel_total",-1.52,-4.029,0.989,0.046,-0.005,0.098,1.744,-0.376,3.865,-0.368,-0.784,0.048,1
"14","isel_belonging",-1.022,-3.326,1.281,0.043,-0.009,0.094,1.315,-0.594,3.224,-0.285,-0.659,0.09,1
"15","isel_appraisal",-0.836,-2.892,1.22,0.051,-0.001,0.103,1.159,-0.561,2.878,-0.249,-0.578,0.081,1
"16","isel_tangible",-1.227,-3.524,1.07,0.047,-0.005,0.098,1.419,-0.474,3.312,-0.293,-0.657,0.071,1
