"decision_point","n","Qbar","logodds_scale_pooled_stderr","logodds_scale_conf_int_lb","logodds_scale_conf_int_ub","est_prob","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
7,9,0.479,0.524,-0.548,1.506,0.618,0.366,0.818,0.237,0.036,50,0.274,0.135,0.156,8,5.662,2691.46,5.65,0.335
8,18,2.383,1.042,0.341,4.425,0.916,0.584,0.988,0.832,0.248,50,1.085,0.234,0.305,17,11.727,898.365,11.576,0.339
9,18,1.089,0.512,0.086,2.093,0.748,0.521,0.89,0.233,0.029,50,0.262,0.112,0.126,17,13.586,3904.559,13.539,0.219
10,22,0.676,0.43,-0.168,1.519,0.663,0.458,0.82,0.173,0.012,50,0.185,0.068,0.073,21,17.937,10526.3,17.906,0.157
11,24,1.549,0.577,0.417,2.68,0.825,0.603,0.936,0.281,0.051,50,0.333,0.155,0.184,23,17.938,2036.575,17.781,0.236
12,16,1.689,0.717,0.284,3.095,0.844,0.57,0.957,0.338,0.173,50,0.514,0.343,0.522,15,8.758,416.091,8.577,0.457
13,18,-0.154,0.528,-1.188,0.88,0.462,0.234,0.707,0.215,0.062,50,0.278,0.227,0.294,17,11.82,946.971,11.674,0.333
14,17,0.148,0.54,-0.91,1.206,0.537,0.287,0.77,0.24,0.051,50,0.291,0.178,0.216,16,11.772,1551.328,11.683,0.29
15,23,1.467,0.616,0.259,2.675,0.813,0.564,0.936,0.294,0.084,50,0.38,0.227,0.293,22,15.654,954.633,15.402,0.311
16,26,0.283,0.618,-0.927,1.494,0.57,0.283,0.817,0.179,0.199,50,0.382,0.531,1.131,25,10.893,173.948,10.251,0.602
17,25,0.129,0.488,-0.827,1.085,0.532,0.304,0.747,0.185,0.052,50,0.238,0.222,0.286,24,17.285,992.807,16.99,0.3
18,24,0.365,0.878,-1.357,2.086,0.59,0.205,0.89,0.354,0.409,50,0.772,0.541,1.18,23,9.738,167.23,9.203,0.616
