"decision_point","n","Qbar","logodds_scale_pooled_stderr","logodds_scale_conf_int_lb","logodds_scale_conf_int_ub","est_prob","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
1,2,-16.512,23.503,-62.577,29.552,0,0,1,1.49,540.086,50,552.377,0.997,369.723,1,0.001,49.265,0.001,0.999
2,15,9.475,18.326,-26.443,45.393,1,0,1,0.492,328.767,50,335.834,0.999,681.138,14,0.018,49.144,0.018,1
3,24,0.351,0.574,-0.774,1.476,0.587,0.316,0.814,0.178,0.148,50,0.329,0.458,0.847,23,11.497,233.119,10.957,0.536
4,24,0.488,0.509,-0.509,1.485,0.62,0.375,0.815,0.18,0.077,50,0.259,0.303,0.435,23,14.796,533.388,14.397,0.383
5,22,0.236,0.466,-0.678,1.149,0.559,0.337,0.759,0.186,0.031,50,0.217,0.145,0.17,21,16.451,2317.434,16.335,0.234
6,16,-1.296,0.796,-2.856,0.263,0.215,0.054,0.565,0.399,0.23,50,0.633,0.37,0.588,15,8.397,357.492,8.204,0.483
7,16,-0.143,0.592,-1.303,1.017,0.464,0.214,0.734,0.257,0.091,50,0.35,0.266,0.363,15,9.786,692.085,9.649,0.382
8,26,0.069,0.477,-0.865,1.003,0.517,0.296,0.732,0.157,0.069,50,0.227,0.31,0.45,25,16.015,509.42,15.526,0.385
9,21,-0.081,0.467,-0.996,0.834,0.48,0.27,0.697,0.192,0.025,50,0.218,0.119,0.135,20,16.09,3465.619,16.015,0.212
10,25,1.086,0.566,-0.023,2.195,0.748,0.494,0.9,0.218,0.1,50,0.32,0.318,0.466,24,15.163,485.546,14.704,0.395
11,22,-0.259,0.482,-1.203,0.685,0.436,0.231,0.665,0.187,0.044,50,0.232,0.194,0.241,21,15.514,1301.015,15.331,0.282
12,16,0.675,0.732,-0.759,2.109,0.663,0.319,0.892,0.298,0.233,50,0.536,0.443,0.796,15,7.423,249.364,7.208,0.552
13,17,0.558,0.635,-0.686,1.803,0.636,0.335,0.859,0.264,0.137,50,0.403,0.346,0.528,16,9.368,410.262,9.159,0.453
14,27,0.222,0.427,-0.616,1.06,0.555,0.351,0.743,0.151,0.031,50,0.183,0.173,0.209,26,20.021,1638.524,19.779,0.246
15,17,0.838,0.537,-0.216,1.891,0.698,0.446,0.869,0.28,0.009,50,0.289,0.031,0.032,16,13.865,49463.447,13.861,0.146
16,21,0.734,0.586,-0.414,1.882,0.676,0.398,0.868,0.224,0.116,50,0.343,0.346,0.528,20,11.947,409.891,11.609,0.435
17,27,0.865,0.527,-0.168,1.899,0.704,0.458,0.87,0.182,0.094,50,0.278,0.344,0.525,26,15.875,413.56,15.288,0.416
18,17,-0.811,0.843,-2.462,0.841,0.308,0.079,0.699,0.31,0.393,50,0.71,0.564,1.293,16,6.243,154.111,6,0.661
19,22,0.678,0.556,-0.412,1.769,0.663,0.398,0.854,0.209,0.098,50,0.309,0.324,0.48,21,13.005,465.568,12.652,0.411
20,27,0.263,0.413,-0.545,1.072,0.565,0.367,0.745,0.151,0.018,50,0.17,0.11,0.124,26,21.533,4016.224,21.418,0.183
21,21,0.117,0.519,-0.902,1.135,0.529,0.289,0.757,0.195,0.074,50,0.27,0.279,0.386,20,13.171,630.817,12.902,0.369
22,22,0.198,0.448,-0.681,1.076,0.549,0.336,0.746,0.184,0.016,50,0.201,0.083,0.09,21,17.654,7127,17.61,0.172
23,17,0.609,0.603,-0.573,1.79,0.648,0.361,0.857,0.265,0.097,50,0.363,0.272,0.374,16,10.419,661.315,10.257,0.382
24,16,0.702,0.868,-1,2.404,0.669,0.269,0.917,0.319,0.426,50,0.754,0.576,1.361,15,5.648,147.474,5.439,0.677
25,23,-0.563,0.525,-1.593,0.466,0.363,0.169,0.614,0.192,0.082,50,0.276,0.303,0.436,22,14.098,532.061,13.734,0.387
26,17,0.349,0.576,-0.78,1.477,0.586,0.314,0.814,0.248,0.082,50,0.331,0.253,0.339,16,10.694,765.52,10.547,0.363
27,21,1.043,0.57,-0.074,2.159,0.739,0.482,0.896,0.253,0.07,50,0.324,0.221,0.284,20,14.217,999.03,14.017,0.313
28,19,1.103,0.628,-0.128,2.335,0.751,0.468,0.912,0.29,0.102,50,0.395,0.265,0.36,18,11.978,700.343,11.777,0.364
29,18,0.135,0.652,-1.143,1.413,0.534,0.242,0.804,0.234,0.187,50,0.425,0.449,0.816,17,8.423,242.536,8.14,0.548
30,16,0.235,0.661,-1.061,1.531,0.559,0.257,0.822,0.264,0.169,50,0.437,0.395,0.654,15,8.063,313.665,7.861,0.507
31,19,0.204,0.567,-0.908,1.315,0.551,0.287,0.788,0.218,0.102,50,0.322,0.322,0.475,18,11.04,472.273,10.788,0.42
32,16,0.138,0.587,-1.012,1.288,0.534,0.267,0.784,0.257,0.086,50,0.344,0.255,0.342,15,9.933,753.495,9.804,0.371
33,21,0.799,0.575,-0.329,1.926,0.69,0.419,0.873,0.229,0.1,50,0.331,0.308,0.445,20,12.637,516.648,12.335,0.398
34,18,0.05,0.54,-1.009,1.109,0.512,0.267,0.752,0.226,0.065,50,0.292,0.226,0.292,17,11.842,959.145,11.697,0.331
35,19,0.026,0.516,-0.985,1.036,0.506,0.272,0.738,0.213,0.052,50,0.266,0.198,0.247,18,13.065,1252.849,12.93,0.298
36,18,0.869,0.712,-0.526,2.264,0.705,0.372,0.906,0.283,0.219,50,0.507,0.441,0.788,17,8.558,252.347,8.277,0.54
