"decision_point","n","Qbar","logodds_scale_pooled_stderr","logodds_scale_conf_int_lb","logodds_scale_conf_int_ub","est_prob","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
1,12,0.429,0.927,-1.388,2.245,0.606,0.2,0.904,0.398,0.452,50,0.859,0.537,1.16,11,4.365,169.918,4.256,0.665
2,25,-0.032,0.502,-1.017,0.953,0.492,0.266,0.722,0.164,0.087,50,0.252,0.352,0.544,24,14.393,394.751,13.887,0.429
3,34,-0.059,0.389,-0.821,0.703,0.485,0.306,0.669,0.119,0.032,50,0.151,0.215,0.273,33,24.474,1062.757,23.923,0.273
4,38,-0.468,0.367,-1.186,0.251,0.385,0.234,0.562,0.112,0.022,50,0.134,0.169,0.203,37,29.227,1725.632,28.74,0.221
5,36,0.103,0.394,-0.668,0.875,0.526,0.339,0.706,0.113,0.042,50,0.155,0.274,0.378,35,24.068,651.976,23.211,0.33
6,48,-0.025,0.337,-0.686,0.636,0.494,0.335,0.654,0.084,0.029,50,0.114,0.261,0.353,47,33.341,719.03,31.864,0.303
7,55,-0.089,0.311,-0.698,0.52,0.478,0.332,0.627,0.073,0.023,50,0.096,0.24,0.317,54,39.576,847.419,37.81,0.278
8,47,-0.111,0.324,-0.747,0.524,0.472,0.322,0.628,0.086,0.019,50,0.105,0.184,0.225,46,36.012,1450.364,35.14,0.227
9,44,0.152,0.343,-0.521,0.825,0.538,0.373,0.695,0.092,0.025,50,0.118,0.22,0.281,43,32.096,1015.641,31.113,0.265
10,36,0.251,0.406,-0.545,1.047,0.562,0.367,0.74,0.114,0.05,50,0.165,0.307,0.443,35,22.98,520.072,22.008,0.362
11,36,-0.217,0.359,-0.921,0.487,0.446,0.285,0.619,0.113,0.016,50,0.129,0.124,0.142,35,29.036,3170.213,28.772,0.179
12,37,0.062,0.405,-0.732,0.855,0.515,0.325,0.702,0.11,0.053,50,0.164,0.331,0.494,36,22.864,448.4,21.754,0.385
13,49,-0.288,0.307,-0.889,0.313,0.428,0.291,0.578,0.084,0.01,50,0.094,0.111,0.125,48,40.979,3946.792,40.558,0.152
14,41,0.061,0.359,-0.642,0.764,0.515,0.345,0.682,0.098,0.03,50,0.129,0.236,0.309,40,29.132,878.41,28.196,0.285
15,42,-0.141,0.366,-0.858,0.577,0.465,0.298,0.64,0.097,0.037,50,0.134,0.28,0.389,41,28.18,625.169,26.964,0.328
16,35,-0.134,0.387,-0.892,0.624,0.467,0.291,0.651,0.116,0.033,50,0.15,0.226,0.292,34,24.884,956.899,24.253,0.283
17,30,0.075,0.427,-0.762,0.913,0.519,0.318,0.714,0.135,0.047,50,0.183,0.261,0.353,29,20.096,720.18,19.55,0.326
18,41,0.34,0.499,-0.638,1.319,0.584,0.346,0.789,0.104,0.142,50,0.249,0.582,1.393,40,15.937,144.585,14.354,0.63
19,54,-0.147,0.328,-0.789,0.496,0.463,0.312,0.622,0.075,0.032,50,0.108,0.302,0.433,53,35.675,537.427,33.454,0.34
20,44,-0.154,0.334,-0.809,0.501,0.462,0.308,0.623,0.092,0.019,50,0.112,0.177,0.216,43,33.836,1557.888,33.117,0.223
21,50,0.342,0.317,-0.278,0.963,0.585,0.431,0.724,0.083,0.017,50,0.1,0.175,0.212,49,38.884,1605.273,37.964,0.215
22,38,-0.108,0.387,-0.867,0.651,0.473,0.296,0.657,0.107,0.042,50,0.15,0.289,0.406,37,24.995,587.09,23.974,0.342
23,49,0.326,0.352,-0.364,1.016,0.581,0.41,0.734,0.085,0.039,50,0.124,0.317,0.465,48,31.477,486.222,29.564,0.359
24,42,0.906,0.425,0.073,1.738,0.712,0.518,0.85,0.118,0.061,50,0.181,0.345,0.527,41,25.628,411.273,24.124,0.393
25,39,0.089,0.428,-0.75,0.927,0.522,0.321,0.716,0.105,0.077,50,0.183,0.427,0.746,38,20.705,268.522,19.223,0.479
26,40,-0.01,0.368,-0.731,0.711,0.497,0.325,0.671,0.101,0.034,50,0.135,0.254,0.341,39,27.697,757.57,26.72,0.305
27,40,1.323,0.437,0.468,2.179,0.79,0.615,0.898,0.152,0.038,50,0.191,0.201,0.251,39,29.688,1216.534,28.981,0.251
28,34,0.687,0.428,-0.152,1.526,0.665,0.462,0.821,0.134,0.049,50,0.183,0.27,0.37,33,22.753,672.438,22.009,0.328
29,40,0.044,0.344,-0.63,0.718,0.511,0.348,0.672,0.1,0.017,50,0.118,0.15,0.176,39,31.577,2182.347,31.127,0.2
30,37,0.521,0.456,-0.373,1.415,0.627,0.408,0.805,0.118,0.088,50,0.208,0.431,0.759,36,19.417,263.182,18.083,0.485
31,38,-0.26,0.446,-1.134,0.614,0.435,0.244,0.649,0.109,0.088,50,0.199,0.449,0.816,37,19.357,242.727,17.927,0.502
