"decision_point","n","Qbar","logodds_scale_pooled_stderr","logodds_scale_conf_int_lb","logodds_scale_conf_int_ub","est_prob","conf_int_lb","conf_int_ub","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
7,11,0.183,0.391,-0.582,0.949,0.546,0.358,0.721,0.12,0.032,50,0.153,0.216,0.276,10,6.633,1048.956,6.591,0.38
8,33,0.72,0.385,-0.035,1.475,0.673,0.491,0.814,0.107,0.041,50,0.148,0.28,0.39,32,21.711,623.22,20.98,0.34
9,42,0.489,0.334,-0.165,1.143,0.62,0.459,0.758,0.097,0.014,50,0.111,0.13,0.149,41,34.047,2897.158,33.651,0.178
10,46,0.862,0.354,0.169,1.556,0.703,0.542,0.826,0.095,0.03,50,0.125,0.243,0.32,45,32.659,831.887,31.425,0.287
11,46,0.585,0.336,-0.072,1.243,0.642,0.482,0.776,0.093,0.019,50,0.113,0.173,0.209,45,35.657,1634.002,34.896,0.217
12,32,1.2,0.495,0.23,2.169,0.768,0.557,0.897,0.145,0.098,50,0.245,0.407,0.685,31,17.312,296.31,16.356,0.468
13,34,0.171,0.4,-0.612,0.955,0.543,0.352,0.722,0.113,0.046,50,0.16,0.292,0.412,33,22.07,575.187,21.254,0.35
14,43,0.192,0.331,-0.456,0.841,0.548,0.388,0.699,0.092,0.017,50,0.11,0.159,0.189,42,33.768,1947.803,33.192,0.205
15,44,1.167,0.404,0.376,1.958,0.763,0.593,0.876,0.139,0.023,50,0.163,0.146,0.171,43,35.132,2303.705,34.604,0.191
16,51,0.478,0.406,-0.318,1.275,0.617,0.421,0.782,0.096,0.068,50,0.165,0.42,0.724,50,27.908,277.83,25.36,0.461
17,47,0.513,0.354,-0.181,1.207,0.626,0.455,0.77,0.088,0.037,50,0.125,0.298,0.424,46,30.974,551.786,29.328,0.341
18,40,-0.273,0.58,-1.409,0.863,0.432,0.196,0.703,0.142,0.19,50,0.336,0.576,1.358,39,15.752,147.743,14.235,0.625
19,36,0.836,0.45,-0.045,1.717,0.698,0.489,0.848,0.142,0.059,50,0.202,0.298,0.425,35,23.263,550.223,22.319,0.354
20,44,0.575,0.346,-0.103,1.252,0.64,0.474,0.778,0.095,0.024,50,0.119,0.205,0.258,43,32.691,1163.802,31.798,0.251
21,40,0.482,0.393,-0.289,1.253,0.618,0.428,0.778,0.119,0.035,50,0.155,0.232,0.302,39,28.517,908.574,27.649,0.282
22,45,0.178,0.312,-0.434,0.79,0.544,0.393,0.688,0.086,0.011,50,0.097,0.117,0.133,44,37.187,3562.459,36.803,0.162
23,49,0.844,0.469,-0.076,1.764,0.699,0.481,0.854,0.156,0.063,50,0.22,0.291,0.41,48,32.715,580.171,30.969,0.332
24,30,0.74,0.574,-0.385,1.866,0.677,0.405,0.866,0.134,0.192,50,0.33,0.593,1.456,29,11.071,139.441,10.257,0.654
25,34,-0.1,0.397,-0.878,0.678,0.475,0.294,0.663,0.11,0.047,50,0.158,0.304,0.437,33,21.694,530.418,20.841,0.362
26,46,0.764,0.395,-0.01,1.539,0.682,0.497,0.823,0.123,0.033,50,0.156,0.215,0.275,45,33.836,1056.054,32.785,0.259
27,36,0.942,0.429,0.101,1.784,0.72,0.525,0.856,0.152,0.032,50,0.184,0.178,0.217,35,27.253,1545.034,26.781,0.233
28,47,0.74,0.384,-0.012,1.492,0.677,0.497,0.816,0.118,0.028,50,0.147,0.197,0.246,46,35.414,1257.788,34.444,0.24
29,31,0.659,0.442,-0.206,1.524,0.659,0.449,0.821,0.126,0.068,50,0.195,0.354,0.548,30,18.209,391.301,17.399,0.417
30,36,0.863,0.499,-0.116,1.841,0.703,0.471,0.863,0.137,0.11,50,0.249,0.449,0.814,35,18.276,243.265,16.999,0.504
31,37,0.848,0.423,0.02,1.676,0.7,0.505,0.842,0.115,0.062,50,0.179,0.354,0.547,36,22.076,391.843,20.899,0.408
32,38,0.497,0.437,-0.36,1.354,0.622,0.411,0.795,0.109,0.081,50,0.191,0.432,0.761,37,19.963,262.501,18.553,0.485
33,33,0.949,0.448,0.071,1.827,0.721,0.518,0.861,0.141,0.059,50,0.201,0.299,0.427,32,21.148,547.776,20.361,0.359
34,39,0.238,0.37,-0.486,0.962,0.559,0.381,0.724,0.11,0.026,50,0.137,0.192,0.238,38,29.205,1328.704,28.577,0.243
35,36,0.891,0.424,0.06,1.722,0.709,0.515,0.848,0.144,0.035,50,0.18,0.198,0.247,35,26.58,1245.098,26.024,0.254
36,36,0.149,0.449,-0.732,1.029,0.537,0.325,0.737,0.101,0.099,50,0.202,0.502,1.007,35,16.518,194.568,15.225,0.557
37,42,0.469,0.359,-0.234,1.171,0.615,0.442,0.763,0.095,0.033,50,0.129,0.264,0.359,41,28.8,702.453,27.666,0.312
