"decision_point","ppc_est","ppc_stderr"
1,0.42,0.72
2,0.58,0.5
3,0.6,0.5
4,0.48,0.64
5,0.4,0.6
6,0.56,0.72
7,0.44,0.6
8,0.58,0.56
9,0.38,0.7
10,0.5,0.6
11,0.38,0.66
12,0.36,0.7
13,0.46,0.22
14,0.4,0.22
15,0.46,0.66
16,0.26,0.48
17,0.54,0.3
18,0.34,0.44
19,0.62,0.48
20,0.32,0.74
21,0.56,0.6
22,0.44,0.26
23,0.32,0.78
24,0.34,0.58
25,0.38,0.58
26,0.7,0.48
27,0.7,0.44
28,0.68,0.28
29,0.56,0.54
30,0.54,0.56
31,0.32,0.7
32,0.42,0.58
33,0.62,0.48
34,0.4,0.54
35,0.5,0.88
36,0.5,0.3
37,0.38,0.44
38,0.5,0.32
39,0.22,0.68
40,0.36,0.64
41,0.54,0.44
42,0.42,0.7
43,0.5,0.62
44,0.38,0.8
45,0.62,0.18
46,0.74,0.28
47,0.48,0.62
48,0.5,0.64
49,0.48,0.58
50,0.42,0.44
51,0.44,0.64
52,0.2,0.86
53,0.14,0.68
54,0.32,0.7
55,0.38,0.68
56,0.36,0.72
57,0.6,0.96
58,0.62,0.54
59,0.6,0.54
60,0.66,0.8
