"decision_point","ppc_est","ppc_stderr"
1,0.96,0.38
2,0.4,0.74
3,0.52,0.52
4,0.5,0.52
5,0.3,0.36
6,0.56,0.5
7,0.6,0.36
8,0.48,0.3
9,0.62,0.22
10,0.44,0.62
11,0.7,0.44
12,0.62,0.26
13,0.7,0.36
14,0.6,0.44
15,0.42,0.66
16,0.7,0.34
17,0.34,0.62
18,0.62,0.52
19,0.64,0.46
20,0.34,0.4
21,0.6,0.3
22,0.38,0.42
23,0.54,0.5
24,0.62,0.4
25,0.6,0.58
26,0.48,0.46
27,0.52,0.52
28,0.38,0.6
29,0.8,0.3
30,0.44,0.34
31,0.44,0.34
32,0.42,0.28
33,0.54,0.5
34,0.42,0.36
35,0.48,0.28
36,0.48,0.54
37,0.34,0.68
38,0.52,0.56
39,0.26,0.8
40,0.6,0.46
41,0.32,0.84
42,0.38,0.28
43,0.32,0.78
44,0.6,0.24
45,0.7,0.34
46,0.3,0.28
47,0.42,0.44
48,0.48,0.46
49,0.58,0.22
50,0.28,0.66
51,0.34,0.54
52,0.66,0.4
53,0.68,0.34
54,0.76,0.42
55,0.76,0.32
56,0.54,0.52
57,0.42,0.72
58,0.6,0.44
59,0.54,0.38
60,0.46,0.4
