"decision_point","ppc_est","ppc_stderr"
1,0.24,0.52
2,0.46,0.22
3,0.62,0.2
4,0.6,0.54
5,0.62,0.34
6,0.4,0.38
7,0.58,0.42
8,0.4,0.24
9,0.48,0.3
10,0.56,0.28
11,0.56,0.32
12,0.32,0.26
13,0.36,0.3
14,0.52,0.22
15,0.32,0.24
16,0.34,0.14
17,0.62,0.2
18,0.36,0.48
19,0.46,0.34
20,0.58,0.32
21,0.42,0.5
22,0.48,0.24
23,0.34,0.58
24,0.48,0.62
25,0.28,0.24
26,0.34,0.26
27,0.26,0.76
28,0.42,0.58
29,0.26,0.1
30,0.38,0.56
31,0.66,0.5
32,0.52,0.54
33,0.28,0.78
34,0.34,0.62
35,0.38,0.3
36,0.48,0.58
37,0.66,0.62
38,0.38,0.66
39,0.36,0.26
40,0.4,0.62
41,0.3,0.6
42,0.32,0.48
43,0.44,0.4
44,0.38,0.54
45,0.14,0.76
46,0.2,0.48
47,0.44,0.52
48,0.5,0.6
49,0.28,0.52
50,0.2,0.68
51,0.5,0.56
52,0.3,0.7
53,0.54,0.48
54,0.4,0.66
55,0.22,0.64
56,0.48,0.48
57,0.5,0.4
58,0.52,0.26
59,0.58,0.44
60,0.54,0.44
