"decision_point","ppc_est","ppc_stderr"
1,0.66,0.58
2,0.32,0.7
3,0.46,0.56
4,0.42,0.68
5,0.24,0.76
6,0.42,0.56
7,0.48,0.28
8,0.5,0.58
9,0.42,0.54
10,0.34,0.72
11,0.48,0.56
12,0.36,0.72
13,0.64,0.3
14,0.48,0.36
15,0.3,0.72
16,0.42,0.54
17,0.4,0.6
18,0.44,0.4
19,0.62,0.42
20,0.28,0.72
21,0.52,0.5
22,0.34,0.3
23,0.26,0.76
24,0.36,0.6
25,0.52,0.44
26,0.52,0.5
27,0.58,0.52
28,0.5,0.54
29,0.72,0.26
30,0.5,0.58
31,0.34,0.66
32,0.4,0.52
33,0.56,0.54
34,0.38,0.44
35,0.4,0.68
36,0.36,0.3
37,0.32,0.66
38,0.42,0.54
39,0.2,0.82
40,0.48,0.6
41,0.28,0.7
42,0.3,0.62
43,0.36,0.74
44,0.56,0.48
45,0.62,0.36
46,0.46,0.64
47,0.4,0.38
48,0.32,0.72
49,0.46,0.52
50,0.32,0.72
51,0.38,0.66
52,0.48,0.58
53,0.32,0.7
54,0.5,0.54
55,0.52,0.52
56,0.44,0.58
57,0.26,0.74
58,0.5,0.52
59,0.54,0.54
60,0.5,0.7
