"","pbcom_est","pbcom_stderr"
"X.Intercept.","0.440","0.440"
"hour_coinflip_local","0.640","0.640"
"X.Intercept..1","0.440","0.440"
"X.Intercept....hour_coinflip_local","0.440","0.420"
"X.Intercept....2.hour_coinflip_local","0.440","0.400"
"X.Intercept....3.hour_coinflip_local","0.440","0.360"
"X.Intercept....4.hour_coinflip_local","0.460","0.360"
"X.Intercept....5.hour_coinflip_local","0.460","0.360"
"X.Intercept....6.hour_coinflip_local","0.460","0.360"
"X.Intercept....7.hour_coinflip_local","0.420","0.340"
"X.Intercept....8.hour_coinflip_local","0.420","0.340"
"X.Intercept....9.hour_coinflip_local","0.420","0.320"
"X.Intercept....10.hour_coinflip_local","0.460","0.240"
"X.Intercept....11.hour_coinflip_local","0.480","0.180"
"X.Intercept....12.hour_coinflip_local","0.480","0.160"
"X.Intercept....13.hour_coinflip_local","0.480","0.140"
"X.Intercept....14.hour_coinflip_local","0.520","0.120"
"X.Intercept....15.hour_coinflip_local","0.540","0.200"
"X.Intercept....16.hour_coinflip_local","0.580","0.380"
"X.Intercept....17.hour_coinflip_local","0.580","0.500"
"X.Intercept....18.hour_coinflip_local","0.580","0.540"
"X.Intercept....19.hour_coinflip_local","0.580","0.660"
"X.Intercept....20.hour_coinflip_local","0.580","0.740"
"X.Intercept....21.hour_coinflip_local","0.660","0.720"
"X.Intercept....22.hour_coinflip_local","0.660","0.700"
"X.Intercept....23.hour_coinflip_local","0.660","0.700"
"X.Intercept....24.hour_coinflip_local","0.680","0.720"
