"","pbcom_est","pbcom_stderr"
"X.Intercept.","0.340","0.660"
"hour_coinflip_local","0.660","0.700"
"I.hour_coinflip_local...hour_coinflip_local.","0.340","0.700"
"X.Intercept..1","0.340","0.660"
"X.Intercept....hour_coinflip_local...I.hour_coinflip_local...hour_coinflip_local.","0.340","0.620"
"X.Intercept....2.hour_coinflip_local...4.I.hour_coinflip_local...hour_coinflip_local.","0.340","0.620"
"X.Intercept....3.hour_coinflip_local...9.I.hour_coinflip_local...hour_coinflip_local.","0.360","0.600"
"X.Intercept....4.hour_coinflip_local...16.I.hour_coinflip_local...hour_coinflip_local.","0.360","0.600"
"X.Intercept....5.hour_coinflip_local...25.I.hour_coinflip_local...hour_coinflip_local.","0.360","0.600"
"X.Intercept....6.hour_coinflip_local...36.I.hour_coinflip_local...hour_coinflip_local.","0.360","0.520"
"X.Intercept....7.hour_coinflip_local...49.I.hour_coinflip_local...hour_coinflip_local.","0.340","0.520"
"X.Intercept....8.hour_coinflip_local...64.I.hour_coinflip_local...hour_coinflip_local.","0.400","0.380"
"X.Intercept....9.hour_coinflip_local...81.I.hour_coinflip_local...hour_coinflip_local.","0.400","0.260"
"X.Intercept....10.hour_coinflip_local...100.I.hour_coinflip_local...hour_coinflip_local.","0.460","0.220"
"X.Intercept....11.hour_coinflip_local...121.I.hour_coinflip_local...hour_coinflip_local.","0.500","0.140"
"X.Intercept....12.hour_coinflip_local...144.I.hour_coinflip_local...hour_coinflip_local.","0.600","0.180"
"X.Intercept....13.hour_coinflip_local...169.I.hour_coinflip_local...hour_coinflip_local.","0.580","0.280"
"X.Intercept....14.hour_coinflip_local...196.I.hour_coinflip_local...hour_coinflip_local.","0.600","0.400"
"X.Intercept....15.hour_coinflip_local...225.I.hour_coinflip_local...hour_coinflip_local.","0.640","0.540"
"X.Intercept....16.hour_coinflip_local...256.I.hour_coinflip_local...hour_coinflip_local.","0.720","0.620"
"X.Intercept....17.hour_coinflip_local...289.I.hour_coinflip_local...hour_coinflip_local.","0.720","0.680"
"X.Intercept....18.hour_coinflip_local...324.I.hour_coinflip_local...hour_coinflip_local.","0.640","0.640"
"X.Intercept....19.hour_coinflip_local...361.I.hour_coinflip_local...hour_coinflip_local.","0.600","0.640"
"X.Intercept....20.hour_coinflip_local...400.I.hour_coinflip_local...hour_coinflip_local.","0.600","0.660"
"X.Intercept....21.hour_coinflip_local...441.I.hour_coinflip_local...hour_coinflip_local.","0.500","0.620"
"X.Intercept....22.hour_coinflip_local...484.I.hour_coinflip_local...hour_coinflip_local.","0.440","0.620"
"X.Intercept....23.hour_coinflip_local...529.I.hour_coinflip_local...hour_coinflip_local.","0.420","0.640"
"X.Intercept....24.hour_coinflip_local...576.I.hour_coinflip_local...hour_coinflip_local.","0.400","0.660"
