"","pbcom_est","pbcom_stderr"
"High Effort Prompt (versus No Prompt)","0.420","0.840"
"High Effort Prompt (versus No Prompt) x Hour of Day","0.560","0.900"
"High Effort Prompt (versus No Prompt) x Square of Hour of Day","0.440","0.860"
"Low Effort Prompt (versus No Prompt)","0.380","0.560"
"Low Effort Prompt (versus No Prompt) x Hour of Day","0.600","0.420"
"Low Effort Prompt (versus No Prompt) x Square of Hour of Day","0.400","0.320"
"Indicator for High vs. Low","0.540","0.560"
"Indicator for High vs. Low x Hour of Day","0.440","0.540"
"Indicator for High vs. Low x Square of Hour of Day","0.600","0.520"
"High vs. Low at Day 0","0.540","0.560"
"High vs. Low at Day 1","0.540","0.560"
"High vs. Low at Day 2","0.540","0.560"
"High vs. Low at Day 3","0.560","0.580"
"High vs. Low at Day 4","0.520","0.600"
"High vs. Low at Day 5","0.500","0.620"
"High vs. Low at Day 6","0.500","0.620"
"High vs. Low at Day 7","0.460","0.640"
"High vs. Low at Day 8","0.420","0.620"
"High vs. Low at Day 9","0.380","0.580"
"High vs. Low at Day 10","0.320","0.480"
"High vs. Low at Day 11","0.260","0.260"
"High vs. Low at Day 12","0.160","0.240"
"High vs. Low at Day 13","0.180","0.340"
"High vs. Low at Day 14","0.160","0.420"
"High vs. Low at Day 15","0.160","0.400"
"High vs. Low at Day 16","0.140","0.480"
"High vs. Low at Day 17","0.200","0.520"
"High vs. Low at Day 18","0.240","0.580"
"High vs. Low at Day 19","0.340","0.500"
"High vs. Low at Day 20","0.440","0.500"
"High vs. Low at Day 21","0.460","0.480"
"High vs. Low at Day 22","0.580","0.480"
"High vs. Low at Day 23","0.540","0.460"
"High vs. Low at Day 24","0.560","0.500"
