"","decision_point","prob_mu_cigarette_availability","prob_mu_engage","prob_mu_cigarette_counts","prob_mu_src_scored"
"1",1,0.76,0.28,0.12,0.08
"2",2,0.42,0.36,0.52,0.54
"3",3,0.66,0.58,0.46,0.82
"4",4,0.74,0.5,0.3,0.66
"5",5,0.6,0.36,0.44,0.6
"6",6,0.64,0.44,0.68,0.56
"7",7,0.48,0.58,0.48,0.64
"8",8,0.6,0.38,0.54,0.64
"9",9,0.74,0.46,0.64,0.68
"10",10,0.76,0.46,0.42,0.56
"11",11,0.68,0.46,0.38,0.64
"12",12,0.72,0.32,0.38,0.6
"13",13,0.74,0.46,0.32,0.54
"14",14,0.54,0.46,0.44,0.58
"15",15,0.44,0.26,0.36,0.7
"16",16,0.52,0.32,0.46,0.52
"17",17,0.6,0.52,0.56,0.64
"18",18,0.82,0.42,0.16,0.62
"19",19,0.52,0.54,0.62,0.74
"20",20,0.58,0.38,0.34,0.58
"21",21,0.44,0.46,0.46,0.64
"22",22,0.46,0.36,0.58,0.58
"23",23,0.42,0.32,0.44,0.6
"24",24,0.48,0.32,0.5,0.42
"25",25,0.3,0.28,0.44,0.56
"26",26,0.42,0.38,0.38,0.54
"27",27,0.4,0.42,0.34,0.62
"28",28,0.6,0.48,0.42,0.44
"29",29,0.46,0.38,0.22,0.72
"30",30,0.56,0.36,0.66,0.68
"31",31,0.5,0.46,0.46,0.52
"32",32,0.48,0.46,0.3,0.66
"33",33,0.3,0.28,0.22,0.56
"34",34,0.26,0.34,0.56,0.7
"35",35,0.42,0.22,0.34,0.56
"36",36,0.32,0.38,0.08,0.74
"37",37,0.3,0.4,0.12,0.7
"38",38,0.36,0.34,0.32,0.76
"39",39,0.38,0.2,0.34,0.78
"40",40,0.26,0.36,0.48,0.84
"41",41,0.48,0.2,0.18,0.8
"42",42,0.46,0.24,0.44,0.82
"43",43,0.44,0.3,0.5,0.48
"44",44,0.28,0.4,0.46,0.54
"45",45,0.32,0.26,0.26,0.6
"46",46,0.36,0.22,0.46,0.48
"47",47,0.52,0.42,0.44,0.52
"48",48,0.52,0.3,0.38,0.64
"49",49,0.62,0.38,0.64,0.6
"50",50,0.62,0.22,0.46,0.7
"51",51,0.48,0.44,0.34,0.8
"52",52,0.52,0.34,0.44,0.64
"53",53,0.58,0.42,0.48,0.46
"54",54,0.58,0.36,0.5,0.6
"55",55,0.4,0.3,0.04,0.84
"56",56,0.52,0.42,0.46,0.56
"57",57,0.56,0.42,0.16,0.56
"58",58,0.36,0.5,0.42,0.82
"59",59,0.6,0.46,0.48,0.82
"60",60,0.66,0.42,0.58,0.62
