"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"High Effort Prompt (versus No Prompt)","0.00621","0.00353","50.00000","0.00982","0.36716","0.58017","81.00000","50.03967","363.48685","43.98452","0.39410"
"High Effort Prompt (versus No Prompt) x Day in Study","0.00016","0.00009","50.00000","0.00025","0.37271","0.59417","81.00000","49.60050","352.73428","43.48567","0.39970"
"Low Effort Prompt (versus No Prompt)","0.00647","0.00368","50.00000","0.01023","0.36707","0.57995","81.00000","50.04683","363.66618","43.99267","0.39401"
"Low Effort Prompt (versus No Prompt) x Day in Study","0.00018","0.00014","50.00000","0.00032","0.43853","0.78104","81.00000","44.39628","254.79958","37.80853","0.46605"
"Indicator for High vs. Low","0.00650","0.00478","50.00000","0.01137","0.42851","0.74982","81.00000","45.18844","266.85277","38.64444","0.45596"
"Indicator for High vs. Low x Day in Study","0.00019","0.00018","50.00000","0.00037","0.49115","0.96523","81.00000","40.23519","203.12388","33.58300","0.51897"
"High vs. Low at Day 2","0.00331","0.00198","50.00000","0.00532","0.37854","0.60911","81.00000","49.13980","341.95937","42.96561","0.40558"
"High vs. Low at Day 3","0.00227","0.00110","50.00000","0.00340","0.33133","0.49551","81.00000","52.87265","446.34756","47.27288","0.35793"
"High vs. Low at Day 4","0.00161","0.00058","50.00000","0.00220","0.27047","0.37075","81.00000","57.68495","669.81752","53.11101","0.29647"
"High vs. Low at Day 5","0.00132","0.00042","50.00000","0.00174","0.24468","0.32394","81.00000","59.72422","818.46246","55.66246","0.27043"
"High vs. Low at Day 6","0.00140","0.00061","50.00000","0.00202","0.30606","0.44106","81.00000","54.87044","523.08101","49.66106","0.33242"
"High vs. Low at Day 7","0.00185","0.00114","50.00000","0.00302","0.38635","0.62961","81.00000","48.52182","328.26450","42.27327","0.41346"
"High vs. Low at Day 8","0.00268","0.00204","50.00000","0.00476","0.43649","0.77460","81.00000","44.55726","257.18193","37.97757","0.46400"
"High vs. Low at Day 9","0.00388","0.00328","50.00000","0.00723","0.46298","0.86214","81.00000","42.46256","228.59281","35.81053","0.49066"
