"","Ubar","B","m","total_var","lambda","r","v_com","v_obs","v_old","v","gamma"
"High Effort Prompt (versus No Prompt)","0.02887","0.00889","50.00000","0.03794","0.23905","0.31414","78.00000","57.88893","857.50354","54.22806","0.26564"
"High Effort Prompt (versus No Prompt) x Day in Study","0.00497","0.00236","50.00000","0.00737","0.32587","0.48340","78.00000","51.28352","461.42046","46.15385","0.35330"
"High Effort Prompt (versus No Prompt) x Day in Study x Day in Study","0.00004","0.00003","50.00000","0.00007","0.36920","0.58528","78.00000","47.98766","359.48183","42.33616","0.39703"
"Low Effort Prompt (versus No Prompt)","0.03032","0.01498","50.00000","0.04559","0.33504","0.50385","78.00000","50.58638","436.52418","45.33299","0.36255"
"Low Effort Prompt (versus No Prompt) x Day in Study","0.00565","0.00323","50.00000","0.00895","0.36866","0.58393","78.00000","48.02881","360.53753","42.38281","0.39648"
"Low Effort Prompt (versus No Prompt) x Day in Study x Day in Study","0.00005","0.00003","50.00000","0.00009","0.39395","0.65002","78.00000","46.10506","315.73633","40.23045","0.42198"
"Indicator for High vs. Low","0.03003","0.01199","50.00000","0.04226","0.28944","0.40733","78.00000","54.05553","584.91405","49.48254","0.31651"
"Indicator for High vs. Low x Day in Study","0.00618","0.00349","50.00000","0.00974","0.36584","0.57689","78.00000","48.24319","366.11320","42.62627","0.39364"
"Indicator for High vs. Low x Square of Day in Study","0.00006","0.00004","50.00000","0.00010","0.42499","0.73910","78.00000","43.74332","271.29250","37.66948","0.45327"
"High vs. Low at Day 1","0.01171","0.00394","50.00000","0.01573","0.25538","0.34297","78.00000","56.64624","751.31267","52.67476","0.28213"
"High vs. Low at Day 2","0.00416","0.00139","50.00000","0.00558","0.25362","0.33980","78.00000","56.78027","761.78724","52.84168","0.28035"
"High vs. Low at Day 3","0.00241","0.00133","50.00000","0.00377","0.36071","0.56423","78.00000","48.63364","376.60623","43.07153","0.38846"
"High vs. Low at Day 4","0.00286","0.00177","50.00000","0.00467","0.38688","0.63101","78.00000","46.64220","327.36597","40.82549","0.41486"
"High vs. Low at Day 5","0.00331","0.00169","50.00000","0.00503","0.34273","0.52144","78.00000","50.00151","417.15929","44.64971","0.37031"
"High vs. Low at Day 6","0.00290","0.00108","50.00000","0.00400","0.27468","0.37869","78.00000","55.17841","649.46683","50.85757","0.30161"
"High vs. Low at Day 7","0.00218","0.00091","50.00000","0.00311","0.29957","0.42769","78.00000","53.28459","546.01001","48.54694","0.32675"
"High vs. Low at Day 8","0.00305","0.00318","50.00000","0.00629","0.51543","1.06368","78.00000","36.86339","184.44237","30.72298","0.54417"
