"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Treatment (Prompt = 1, No Prompt = 0)"," 0.352","0.176"," 0.007","0.697"," 0.063","0.641","0.045"
"Treatment x Day","-0.076","0.075","-0.223","0.071","-0.200","0.048","0.312"
"Treatment x Square of Day"," 0.005","0.007","-0.009","0.019","-0.007","0.017","0.486"
"Treatment Effect on Day 1"," 0.281","0.114"," 0.058","0.503"," 0.094","0.468","0.013"
"Treatment Effect on Day 2"," 0.220","0.070"," 0.082","0.358"," 0.104","0.336","0.002"
"Treatment Effect on Day 3"," 0.169","0.050"," 0.071","0.268"," 0.086","0.252","0.001"
"Treatment Effect on Day 4"," 0.128","0.049"," 0.032","0.224"," 0.047","0.209","0.009"
"Treatment Effect on Day 5"," 0.097","0.051","-0.002","0.196"," 0.014","0.180","0.054"
"Treatment Effect on Day 6"," 0.076","0.047","-0.015","0.168"," 0.000","0.153","0.101"
"Treatment Effect on Day 7"," 0.066","0.042","-0.016","0.147","-0.003","0.134","0.115"
"Treatment Effect on Day 8"," 0.065","0.054","-0.041","0.171","-0.024","0.154","0.232"
