"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"(Intercept)","-0.703","0.371","-1.429"," 0.024","-1.312","-0.093","0.058"
"age"," 0.002","0.003","-0.004"," 0.008","-0.003"," 0.007","0.518"
"is_male","-0.138","0.094","-0.321"," 0.046","-0.292"," 0.016","0.141"
"is_latino"," 0.118","0.097","-0.072"," 0.307","-0.041"," 0.277","0.223"
"is_not_latino_and_black"," 0.115","0.088","-0.058"," 0.287","-0.030"," 0.260","0.193"
"is_not_latino_and_other"," 0.121","0.136","-0.146"," 0.388","-0.103"," 0.345","0.374"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","-0.006"," 0.008","0.785"
"has_partner","-0.049","0.073","-0.192"," 0.095","-0.169"," 0.072","0.507"
"income_val"," 0.003","0.011","-0.019"," 0.024","-0.016"," 0.021","0.818"
"hour_coinflip_local"," 0.013","0.006"," 0.002"," 0.024"," 0.004"," 0.023","0.017"
"days_between_v1_and_coinflip_local"," 0.011","0.007","-0.003"," 0.024","-0.001"," 0.022","0.124"
"any_response_2qs"," 0.078","0.043","-0.006"," 0.161"," 0.008"," 0.148","0.068"
"any_recent_eligible_dp","-0.686","0.337","-1.347","-0.025","-1.241","-0.131","0.042"
"engagement_most_recent_eligible"," 0.596","0.076"," 0.447"," 0.745"," 0.471"," 0.721","0.000"
