"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.643","0.224"," 0.205"," 1.082","0.004"
"age"," 0.001","0.002","-0.002"," 0.004","0.517"
"is_male","-0.080","0.045","-0.167"," 0.008","0.074"
"is_latino"," 0.067","0.048","-0.027"," 0.161","0.164"
"is_not_latino_and_black"," 0.069","0.046","-0.022"," 0.159","0.139"
"is_not_latino_and_other"," 0.075","0.070","-0.062"," 0.213","0.285"
"baseline_tobacco_history"," 0.001","0.002","-0.004"," 0.006","0.659"
"has_partner","-0.027","0.038","-0.102"," 0.047","0.467"
"income_val"," 0.001","0.006","-0.011"," 0.012","0.870"
"hour_coinflip_local"," 0.005","0.002"," 0.000"," 0.009","0.045"
"days_between_v1_and_coinflip_local"," 0.006","0.004","-0.002"," 0.015","0.128"
"any_response_2qs"," 0.046","0.023"," 0.000"," 0.092","0.048"
"any_recent_eligible_dp","-0.428","0.211","-0.841","-0.014","0.043"
"engagement_most_recent_eligible"," 0.323","0.034"," 0.256"," 0.390","0.000"
