"","Estimate","StdErr","LCL","UCL","p_value"
"High Effort Prompt (versus No Prompt)"," 0.331","0.365","-0.384","1.047","0.364"
"High Effort Prompt (versus No Prompt) x Hour of Day","-0.007","0.053","-0.111","0.097","0.898"
"High Effort Prompt (versus No Prompt) x Square of Hour of Day"," 0.000","0.002","-0.004","0.003","0.922"
"Low Effort Prompt (versus No Prompt)"," 0.160","0.415","-0.653","0.972","0.700"
"Low Effort Prompt (versus No Prompt) x Hour of Day","-0.003","0.061","-0.124","0.117","0.957"
"Low Effort Prompt (versus No Prompt) x Square of Hour of Day"," 0.000","0.002","-0.005","0.004","0.886"
"Indicator for High vs. Low"," 0.172","0.458","-0.727","1.070","0.708"
"Indicator for High vs. Low x Hour of Day","-0.004","0.068","-0.137","0.130","0.959"
"Indicator for High vs. Low x Square of Hour of Day"," 0.000","0.002","-0.005","0.005","0.957"
"High vs. Low at Day 0"," 0.172","0.458","-0.727","1.070","0.708"
"High vs. Low at Day 1"," 0.168","0.394","-0.604","0.940","0.669"
"High vs. Low at Day 2"," 0.165","0.335","-0.491","0.821","0.622"
"High vs. Low at Day 3"," 0.162","0.280","-0.387","0.712","0.563"
"High vs. Low at Day 4"," 0.160","0.231","-0.293","0.612","0.490"
"High vs. Low at Day 5"," 0.157","0.187","-0.210","0.524","0.401"
"High vs. Low at Day 6"," 0.155","0.149","-0.136","0.447","0.297"
"High vs. Low at Day 7"," 0.153","0.116","-0.074","0.381","0.187"
"High vs. Low at Day 8"," 0.152","0.090","-0.025","0.328","0.092"
"High vs. Low at Day 9"," 0.151","0.071"," 0.011","0.290","0.034"
"High vs. Low at Day 10"," 0.150","0.060"," 0.032","0.267","0.012"
"High vs. Low at Day 11"," 0.149","0.055"," 0.041","0.257","0.007"
"High vs. Low at Day 12"," 0.148","0.055"," 0.041","0.255","0.007"
"High vs. Low at Day 13"," 0.148","0.055"," 0.040","0.256","0.007"
"High vs. Low at Day 14"," 0.148","0.056"," 0.039","0.257","0.008"
"High vs. Low at Day 15"," 0.148","0.055"," 0.041","0.256","0.007"
"High vs. Low at Day 16"," 0.149","0.054"," 0.043","0.254","0.006"
"High vs. Low at Day 17"," 0.150","0.055"," 0.043","0.257","0.006"
"High vs. Low at Day 18"," 0.151","0.061"," 0.032","0.269","0.013"
"High vs. Low at Day 19"," 0.152","0.074"," 0.008","0.296","0.039"
"High vs. Low at Day 20"," 0.154","0.095","-0.032","0.339","0.104"
"High vs. Low at Day 21"," 0.155","0.122","-0.085","0.396","0.204"
"High vs. Low at Day 22"," 0.158","0.157","-0.149","0.465","0.315"
"High vs. Low at Day 23"," 0.160","0.197","-0.225","0.545","0.416"
"High vs. Low at Day 24"," 0.163","0.242","-0.311","0.637","0.502"
