"","Estimate","StdErr","LCL","UCL","p_value"
"High Effort Prompt (versus No Prompt)"," 0.514","0.194"," 0.134","0.895","0.008"
"High Effort Prompt (versus No Prompt) x Day in Study","-0.119","0.086","-0.288","0.050","0.167"
"High Effort Prompt (versus No Prompt) x Day in Study x Day in Study"," 0.009","0.008","-0.007","0.026","0.281"
"Low Effort Prompt (versus No Prompt)"," 0.158","0.214","-0.262","0.577","0.461"
"Low Effort Prompt (versus No Prompt) x Day in Study","-0.021","0.095","-0.207","0.165","0.826"
"Low Effort Prompt (versus No Prompt) x Day in Study x Day in Study"," 0.000","0.009","-0.018","0.018","0.992"
"Indicator for High vs. Low"," 0.357","0.206","-0.046","0.760","0.083"
"Indicator for High vs. Low x Day in Study","-0.098","0.099","-0.292","0.095","0.320"
"Indicator for High vs. Low x Square of Day in Study"," 0.009","0.010","-0.010","0.029","0.359"
"High vs. Low at Day 2"," 0.197","0.075"," 0.051","0.343","0.008"
"High vs. Low at Day 3"," 0.145","0.061"," 0.025","0.265","0.018"
"High vs. Low at Day 4"," 0.111","0.068","-0.023","0.244","0.105"
"High vs. Low at Day 5"," 0.095","0.071","-0.044","0.233","0.180"
"High vs. Low at Day 6"," 0.097","0.063","-0.026","0.221","0.123"
"High vs. Low at Day 7"," 0.118","0.056"," 0.009","0.228","0.034"
"High vs. Low at Day 8"," 0.157","0.080"," 0.001","0.313","0.048"
"High vs. Low at Day 9"," 0.215","0.141","-0.062","0.492","0.128"
