"","Estimate","StdErr","LCL","UCL","p_value"
"Intercept","-0.571","0.367","-1.289"," 0.148","0.119"
"age"," 0.002","0.003","-0.004"," 0.008","0.514"
"is_male","-0.139","0.094","-0.322"," 0.045","0.138"
"is_latino"," 0.119","0.096","-0.069"," 0.307","0.215"
"is_not_latino_and_black"," 0.115","0.088","-0.058"," 0.289","0.192"
"is_not_latino_and_other"," 0.125","0.135","-0.138"," 0.389","0.351"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","0.741"
"has_partner","-0.050","0.073","-0.193"," 0.093","0.494"
"income_val"," 0.002","0.011","-0.019"," 0.024","0.824"
"hour_coinflip_local"," 0.007","0.004"," 0.000"," 0.015","0.061"
"days_between_v1_and_coinflip_local"," 0.012","0.007","-0.002"," 0.025","0.101"
"any_response_2qs"," 0.077","0.043","-0.007"," 0.161","0.071"
"any_recent_eligible_dp","-0.739","0.338","-1.401","-0.077","0.029"
"engagement_most_recent_eligible"," 0.596","0.075"," 0.448"," 0.743","0.000"
